故障类别,软/硬件,部件,标题,描述,原因分析,解决方案
参数配置,,,添加白名单,添加白名单,^[A-Z]{2}[0-9]{17}$,添加到配置文件里
软件,扫码台软件,,获取扫码枪VID,获取扫码枪VID,获取扫码枪VID，使用扫码枪硬件读取日志,把读取出来的VID复制出来粘贴到扫码台配置文件里
客户操作,,,急停频繁,客户反馈，切换地图后发现急停频繁,"1.地毯没有检测到rfid
2，小车删除没有搬下场地，发生碰撞",检查被删除的小车，重新添加回去后恢复正常
飞箱异常,TOF异常,,"拉箱<-货架  飞箱: 106001 箱位: (A001)17-040......两侧边沿值差值太大,L=17977,R=17923","拉箱<-货架  飞箱: 106001 箱位: (A001)17-040......两侧边沿值差值太大,L=17977,R=17923",1.tof识别异常，导致拉箱机报错；,"1.拷贝飞箱日志；
2.终止启动任务后恢复；"
参数配置,,,货架蓝灯报警,第三套货架70074插入分拣机时亮蓝灯报警,货架数据异常,查询WES数据库中wall表中70074该货架编号，发现有两条重复ID的记录，删除错误的RFID货架数据后即可。
波次问题（移除、迁移、关闭）,,,迁移波次,Jennifer Flores：Can we move wave ID2508060001 from Gru 3 to Gru 1 please,,修改WES数据库中wave_info表的波次平台编号即可。
飞箱异常,TOF异常,,101072飞箱拉箱失败,"拉箱<-地面车 飞箱: 101072 地面车: 230199..
,两侧都没找到边【地面车 230199 +飞箱 101072】",飞箱没有将抓钩对准箱子正中心开始拉取导致,调整箱子后终止重试恢复
飞箱异常,TOF异常,,拉箱<-地面车 飞箱: 106001 地面车: 219186............拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,拉箱<-地面车 飞箱: 106001 地面车: 219186............拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,看一场视频发现是TOF没有判断对箱子中心位置，导致飞箱钩爪拉取的是箱子一侧，导致拉箱子失败,"1.手动操控飞箱将箱子调整后推回到小车上
2.终止启动飞箱后，飞箱重新拉取箱子后恢复"
软件,扫码台软件,,"扫描台3,4不存图","扫描台3,4不存图",先查看配置文件是否正确，查看日志,"修改配置文件  <!--自动图片存档-->
<add key=""Auto Save Package Image"" value=""true"" />

<!--本地图片存档-->
<add key=""Local Image Save"" value=""true"" />"
软件,RCS,,更新新的RCS版本,更新新的RCS版本,更新新的RCS版本,备份RCS  复制粘贴进去  最后打开看看版本是否正确
软件,RCS,,安装驱动加密狗,安装驱动加密狗,3D缺少加密狗驱动,重新安装新的加密狗程序
飞箱异常,TOF异常,,"拉箱<-货架  飞箱: 106001 箱位: (A002)15-048......两侧边沿值差值太大,L=21619,R=21713","拉箱<-货架  飞箱: 106001 箱位: (A002)15-048......两侧边沿值差值太大,L=21619,R=21713",查看异常视频，发现箱子距离货架立柱很近，可能导致TOF误判断立柱是箱子的一部分，导致报错,飞箱操控界面手动控制飞箱，拉取移动箱子远离立柱，留出一定空间后，终止启动后恢复
硬件,机器人,电池,机器人无法开机无法充电,机器人无法开机无法充电,"1、测量单个电池的电压（0.60）
2、测量上下极板电压（1.14）电压偏低，激活电池",发送激活视频，激活电池，明天操作
飞箱异常,料箱脱钩,,beltin没到位,拉箱<-地面车 飞箱: 106001 地面车: 219168............拉箱失败:beltin没到位(220.6).(20),1.拉箱机没有拉到位就脱钩,"1.调整皮带，使料箱到位靠里，触发tof；
2.任务终止启动后恢复；
"
其它,料箱丢失,,07134料箱丢失,RCS没有07134号料箱的库存信息，导致站台下发的下架任务未触发。,"料箱丢失。实际原因是当地时间8月4日17:48时219155带着料箱07134在上架过程中被拉箱机把料箱07134拉歪了，导致料箱在小车上倾斜，推回后料箱并未触发小车微动开关；18:26肖侠驹终止了飞箱线程导致219155这台车带着料箱07134去了接驳位[15,15]被106004的推箱动作把料箱推到了该接驳位后侧的地面上，后续根据飞箱鱼眼监控找到了该料箱位置。",在未作业时让工作人员将料箱拿出，放到空闲小车上执行上架任务，后续任务恢复正常。后续我们远程操作时加强操作规范，避免此类事故再次发生。
飞箱异常,飞箱定位失效,,Z轴卡住.实际位置(3076.100098)目的位置(2091.000000)  请恢复飞箱后点击已解决,飞箱: 104043 故障。问题: Z轴卡住.实际位置(3076.100098)目的位置(2091.000000)  请恢复飞箱后点击已解决,1.推测z轴卡住,"1.尝试左右移动，发现能够移动，各个电机没有异常。
2.任务终止启动后恢复。"
飞箱异常,TOF异常,,101030拉箱失败,解決してください:ト-ト引出す<-棚AirRob:101030 口三>:(A030)08-013引き機の箱引きに失敗し、ア七ンプリ杂100mm後方に号けません,tof测量距离偏移不准确导致箱子勾歪,终止启动点击已解决恢复
飞箱异常,TOF异常,,106001 飞箱拉箱失败,拉箱<-地面车 飞箱: 106001 地面车: 219149............拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,1、飞箱拉箱时撞到飞箱，料箱未到位,"1、手动把箱子拉到底，再推箱到小车上
2、终止任务—启动任务—点击已解决
3、问题已反馈给肖"
飞箱异常,TOF异常,,106007 飞箱拉箱失败,拉箱<-地面车 飞箱: 106007 地面车: 219179............拉箱失败:beltin没到位(130.0).(20),"1、飞箱拉箱时撞到飞箱，料箱未到位
","1、手动把箱子拉到底，再推箱到小车上
2、终止任务—启动任务—点击已解决
3、问题已反馈给肖"
飞箱异常,TOF异常,,106002 飞箱拉箱失败,拉箱<-地面车 飞箱: 106002 地面车: 219168............拉箱失败:beltin没到位(192.1).(20),1、飞箱TOF未对准箱子中间，导致拉箱时撞到飞箱,"1、手动把箱子拉到底，再推箱到小车上
2、终止任务—启动任务—点击已解决
3、问题已反馈给肖"
飞箱异常,TOF异常,,106009 飞箱拉箱失败,拉箱<-地面车 飞箱: 106009 地面车: 219150............拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,"1、飞箱TOF未校准到料箱正中间，导致拉箱时抓钩偏右，撞到飞箱后抓钩脱钩
","1、手动把箱子拉到底，再推箱到小车上
2、终止任务—启动任务—点击已解决
3、问题已反馈给肖"
波次问题（移除、迁移、关闭）,,,关闭波次异常,美国希音B4第一套无法正常关闭波次ID2508050011,mcs上有订单正在执行中，在分拣机等待分拣,在mcs波次界面上强制完成对应的订单，再次关闭波次成功
飞箱异常,TOF异常,,推箱->地面车  飞箱: 104023 地面车: 80077.......接驳位多次修正失败,推箱->地面车  飞箱: 104023 地面车: 80077.......接驳位多次修正失败,1.报接驳位修正失败。tof识别异常。,"1.拷贝tof日志，拷贝飞箱日志；
2.终止启动后恢复。"
飞箱异常,TOF异常,,106009 飞箱拉箱失败,拉箱<-地面车 飞箱: 106009 地面车: 219175............拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,1、飞箱TOF未校准到料箱正中间，导致拉箱时抓钩偏左，撞到飞箱后抓钩脱钩,"1、读取飞箱日志
2、手动把箱子拉到底，再推箱到小车上
3、终止任务—启动任务—点击已解决
4、问题已反馈给肖"
波次问题（移除、迁移、关闭）,,,迁移波次,客户要求将波次 ID2508050015从第一套迁移到第四套，将波次 ID2508050011第四套迁移到第一套，将波次ID2508050025从第四套迁移到第二套,,连接数据库修改波次信息后完成迁移
参数配置,,,新增白名单,uniuni chicago项目新增白名单^[A-Z]{2}[0-9]{17}$,,使用批量更新工具更新白名单
飞箱异常,倾角异常,,飞箱异常,飞箱106002立柱切斜，无法正常运行，报错电机1号电机发热,,"解锁5,6号电机将飞箱降低地面，在校准立柱，电机回零，X轴自动定位恢复正常"
客户操作,,,飞箱: 106004 箱位: (A008)15-041..........拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,拉箱<-货架   飞箱: 106004 箱位: (A008)15-041..........拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,物品超高,联系现场整理料箱，终止任务，启动任务，故障恢复。
硬件,AP,,机器人无辜离线,机器人无辜离线,先排查是否是同一个机器人离线的  查看AP通信情况,多台机器人离线过了几秒会自动连接，查出很多通道被干扰到，暂时修改通道为100以上，100一下通道干扰严重 需要排查干扰源
飞箱异常,接驳位偏移量异常,,104023推箱失败,"推箱->地面车
飞箱: 104023 地面车: 205091
接驳位多次修正失败",接驳位多次修正失败,读取日志后，终止并启动任务后恢复。
参数配置,,,机器人校准轮径,机器人校准轮径的时候，位移移动不到位,"机器人配置中“来回跑,校轮径启动位移”设置的不是现在的魔毯大小，所以无法校准",升级config配置
