序号,现象,排查指引,备注
1,机器人开不了机,"1. 查看RCS日志，确认是否是电量低导致的
- 是：进入步骤2
- 否：进入步骤3

2. 进行手动充电，20分钟后再次确认是否能开机
- 是：问题解决
- 否：进入步骤3

3. 检查电池连接线是否松动，尝试重新插拔电池连接线
- 确认是否能开机?
- 是：问题解决
- 否：进入步骤4

4. 检查电池模块是否损坏，尝试更换电池模块
- 确认是否能开机?
- 是：问题解决
- 否：进入步骤5

5. 检查电源板和BMSP板是否损坏，尝试更换电源板和BMSP板
- 确认是否能开机?
- 是：问题解决
- 否：进入步骤6

6. RCS上确认AP是否离线
- 是：进入步骤7
- 否：建议联系专业的售后技术支持人员获得帮助

7. 检查AP的两根天线柱子是否拧紧，尝试重新拧紧，并且避免天线底座跟金属有接触。
- 确认是否离线?
- 是：进入步骤5
- 否：确认是否能开机
- 是：问题解决
- 否：进入步骤8

8. 检查AP的网线和电源是否正常，尝试重新插拔网线和电源线。
- 确认是否离线?
- 是：进入步骤6
- 否：确认是否能开机
- 是：问题解决
- 否：进入步骤9

9. 更换AP盒子
- 确认是否离线?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：确认是否能开机
- 是：问题解决
- 否：进入步骤10

10. 尝试更换AP信道
- 确认是否能开机?
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获得帮助

",
2,机器人无法移动,"1. 查看RCS报错代码
- 请打开机器人控制系统（RCS），查看是否有任何报错代码?
- 有：进入步骤2
- 没有：进入步骤3

2. 根据报错代码进行排查
- 用户提交报错代码，然后根据“机器人报错代码排查手册”进行问题排查

3. 检查机器人周围是否有障碍物，导致机器人无法移动?
- 有障碍物：引导客户清理障碍物
- 没有障碍物：进入步骤4

4. 检查格口或分拣机状态是否正常
- 是：进入步骤5
- 否：恢复格口或分拣机状态

5. 如全场停止但没有急停，检查rcs小车有无报错闪烁并查看闪烁机器人颜色
- 是：如果为粉色则检查地毯rfid是否和rcs一样
- 否：进入步骤6
6. 确认是否为演示环境
- 是：把模式改成随机跑，改完后观察是否能移动?
- 能：问题解决
- 不能：建议联系专业的售后技术支持人员获得帮助
- 否：建议联系专业的售后技术支持人员获得帮助

",
3,机器人急停,"1. 查看RCS报错代码
- 请打开机器人控制系统（RCS），查看是否有任何报错代码?
- 有：进入步骤2
- 没有：进入步骤3

2. 根据报错代码进行排查
- 用户提交报错代码，然后根据“机器人报错代码排查手册”进行问题排查

3. 检查急停位置附近的地毯是否铺设正确，是否有调换的情况，如有把地毯放回原处，并观察是否仍然急停?
- 是：进入步骤4
- 否：问题解决

4. 检查急停位置附近是否有障碍物/凹凸不平，尝试清理障碍物/平整地毯，并观察是否仍然急停?
- 是：进入步骤5
- 否：问题解决

5. 按照视频指引校准霍尔
- 观察是否仍然急停?
- 是：进入步骤6
- 否：问题解决

6. 按照视频指引校准轮径
- 观察是否仍然急停?
- 是：进入步骤7
- 否：问题解决

7. 拆机检查霍尔板和BMSP板是否损坏，尝试更换霍尔板和BMSP板
- 观察是否仍然急停?
- 是：进入步骤8
- 否：问题解决

8. 拆机检查电机是否损坏，尝试更换电机并重新注册
- 观察是否仍然急停?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决
",
4,机器人到达格口后不卸货、机器人一直停在格口,"1. 检查卸货位置的地毯是否铺设正确，是否有调换的情况?
- 没有：进入步骤2
- 有：把地毯放回原处，并观察是否继续报错?
- 是：进入步骤2
- 否：问题解决

2. 检查卸货位置附近是否有障碍物?
- 没有：进入步骤3
- 有：清理障碍物，并观察是否继续报错?
- 是：进入步骤3
- 否：问题解决

3. 查看RCS报错代码
- 请打开机器人控制系统（RCS），查看是否有任何报错代码?
- 有：进入步骤4
- 没有：进入步骤5

4. 根据报错代码进行排查
- 引导客户，根据“机器人报错代码排查手册”进行问题排查

5. 确认是否为3D分拣机?
- 是：引导客户根据“分拣机故障排查手册”进行排查
- 否：建议联系专业的售后技术支持人员获得帮助

",
5,机器人充不进电,"1. 使用砂纸打磨机器人极板，去除氧化层，确认是否可以充电
- 是：问题解决
- 否：进入步骤2

2. 检查充电桩夹嘴是否损坏，尝试重新插拔或更换充电桩夹嘴
- 确认是否能充电?
- 是：问题解决
- 否：进入步骤3

3. 拆机检查电源板是否损坏，尝试更换电源板
- 确认是否能充电?
- 是：问题解决
- 否：进入步骤3

4. 检查电池模块是否损坏，尝试更换电池模块
- 确认是否能充电?
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获得帮助

",
6,机器人碰撞,"1. 发生碰撞附近的地毯方向或顺序是否有错乱？
- 是：进入步骤2
- 否：进入步骤3

2. 调整地毯方向或顺序，观察是否继续发生碰撞
- 是：进入步骤3
- 否：问题解决

3. 请打开机器人控制系统（RCS），查看是否有“434：行走打滑”报错？
- 是：根据“错误码434：行走打滑”的排查手册进行排查
- 否：建议联系专业的售后技术支持人员获得帮助

",
7,机器人不发车,"1. 确认是否能扫码？
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：进入步骤2

2. 确认扫码台软件是否能连接相机?
- 是：进入步骤3
- 否：进入步骤6

3. 适当调整补光灯的亮度
- 观察是否能发车?
- 否：进入步骤4
- 是：问题解决

4. 适当调整相机的曝光度
- 观察是否能发车?
- 否：进入步骤5
- 是：问题解决

5. 适当调整相机的焦距
- 观察是否能发车?
- 否：进入步骤6
- 是：问题解决

6. 相机断电后重新上电
- 观察是否能发车?
- 否：进入步骤7
- 是：问题解决

7. 重启扫码台软件
- 观察是否能发车?
- 否：进入步骤8
- 是：问题解决

8. 更换新的相机
- 观察是否能发车?
- 否：建议联系专业的售后技术支持人员获得帮助
- 是：问题解决

",
8,机器人发出异响,"1. 观察是哪个部位发出异响
- 减速器：进入步骤2
- 左/右电机：进入步骤3

2. 拆开减速器检查齿轮油和齿轮间隙，尝试更换减速机
- 观察是否还有异响
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

3. 拆机检查左/右电机是否损坏，尝试更换左/右电机并重新注册
- 观察是否还有异响
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

",
9,机器人自动关机,"1. 使用万用表测量机器人充电极板的电压
- 低于3V：进入步骤3
- 低于4V：进入步骤2
- 高于4V：进入步骤5
- 测不出电压：进入步骤4

2. 手动充电
- 进行手动充电，5分钟后观察是否能开机
- 能：问题解决
- 不能：进入步骤4

3. 按照视频指引激活电池，并进行充电
- 充电5分钟后观察是否能开机
- 能：问题解决
- 不能：进入步骤4

4. 测不出电压表明电池可能损坏，尝试更换电池
- 观察是否能开机
- 能：问题解决
- 不能：进入步骤5

5. 检查电池连接线是否有松动，尝试重新插拔
- 观察是否能开机
- 能：问题解决
- 不能：进入步骤6

6. 观察电池传感器板是否有损坏，尝试更换传感器板
- 观察是否能开机
- 能：问题解决
- 不能：进入步骤7

7. 观察电源板是否有损坏，尝试更换电源板
- 观察是否能开机
- 能：问题解决
- 不能：进入步骤8

8. 尝试更换BMSP板
- 观察是否能开机
- 能：问题解决
- 不能：建议联系专业的售后技术支持人员获得帮助

",
10,机器人耗电过快,"1. 拆机检查电池是否损坏，尝试更换电池
- 观察是否有改善?
- 是：问题解决
- 否：进入步骤2

2. 尝试更换电源板
- 观察是否有改善?
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获得帮助

",
