序号,现象,排查指引,备注
1,分拣机无法启动,"1. 打开分拣机上的电控箱，检查电源输入是否正常
- 是：进入步骤2
- 否：进入步骤3

2. 检查黄色的LED屏幕连接线是否有断开或者故障不亮等情况，尝试修复或更换LED屏幕
- 确认是否能启动?
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获取帮助

3. 检查电源或电梯板是否存在问题，尝试更换电源或电梯板
- 确认是否能启动?
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获取帮助","分拣机电源是否有输入（电梯板故障？）
检查can线到LCD是否有断开
LCD故障"
2,分拣机发出异响,"1. 检查异响发出的来源
- 电机异响：打开电机拿出红白色联轴器（下侧螺丝拧开后整个拿出），重新再安装上去拧紧
- 滑块异响：拆开滑块检查是否有损坏，有则需要更换
- 皮带异响：滑动皮带是否有卡顿，或者皮带相对于其他的太紧或者太松，进行适当的调节

2. 观察是否解决问题
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获取帮助","检查异响来源
如果是滑块需要拆开检查或更换
如果是皮带需要拆开看是否有卡顿，是否过松或过紧
轴承损坏？"
3,分拣机不卸货,"1. 检查LED屏幕是否有报错或者4、5号电机是否有离线
- 是：进入步骤2
- 否：进入步骤4

2. 尝试重新拔插电机连接线，观察电机上的灯是否正常闪烁
- 是：进入步骤4
- 否：进入步骤3

3. 电机可能损坏，尝试更换电机，观察是否恢复正常
- 是：进入步骤4
- 否：问题解决

4. 查看分拣机是否在线（在分拣机LED显示屏右上角或MCS软件上可查看）
- 在线：进入步骤5
- 离线：检查网络是否正常（网线、分拣机里的小交换机网口，大交换机等）

5. 尝试重启分拣机，重新进行电机回零，观察是否恢复正常
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获取帮助","检查分拣机是否在线
检查LCD是否显示异常
检查4、5号电机是否在线
如果都正常可以尝试重启"
4,分拣机接不到货,"1. 检查分拣机是否有异物卡住导致行动受限，尝试清理异物并观察是否恢复正常
- 是：进入步骤2
- 否：问题解决

2. 检查接货位置是否偏移正常接货点
- 是：进入步骤3
- 否：进入步骤5

3. 重启分拣机，观察是否恢复正常
- 是：进入步骤4
- 否：问题解决

4. 调整接货位置坐标，观察是否恢复正常
- 是：进入步骤5
- 否：问题解决

5. 检查分拣机X轴移动是否有卡顿或者异常，并根据实际情况（比如：滑轨变形、滑块损坏）进行修复
- 观察是否恢复正常
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决","检查分拣机是否有异物卡住导致移动受限
检查分拣机接货位置是否需要调整
检查分拣机X轴移动是否异常"
5,分拣机LCD黑屏,"1. 检查电控箱的电源是否通电，确保主板灯和电梯板灯正常亮起，观察是否恢复正常
- 是：问题解决
- 否：进入步骤2

2. 检查LED屏的连接线是否正常，尝试重新拔插连接线，观察是否恢复正常
- 是：问题解决
- 否：进入步骤2

3. 尝试更换连接线或LED屏，观察是否恢复正常
- 是：问题解决
- 否：进入步骤3

4. 尝试更换电梯板，观察是否恢复正常
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获得帮助","重新插拔LCD屏幕线
检查分拣机控制箱内是否有电"
6,X轴下/X轴上/Y轴/旋转/翻板电机离线,"1. 尝试重启分拣机，然后确认是否离线？
- 是：进入步骤2
- 否：问题解决

2. 检查电机的连接线是否松动，尝试重新插拔连接线
- 打开电源，观察电机上的状态指示灯
- 不亮：进入步骤3
- 亮：建议联系专业的售后技术支持人员获得帮助

3. 电机可能损坏，尝试按照操作视频更换电机
- 打开电源，确认是否离线
- 离线：建议联系专业的售后技术支持人员获得帮助
- 在线：问题解决","重启
连接线是否松动
更换电机"
7,左/右读卡器离线,"1. 尝试重启分拣机，然后确认是否离线？
- 是：进入步骤2
- 否：问题解决

2. 检查读卡器的连接线是否松动，尝试重新插拔连接线
- 观察是否离线
- 是：进入步骤3
- 否：问题解决

3. 读卡器可能损坏，尝试按照操作视频更换读卡器
- 打开电源，确认是否离线
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决","重启
连接线是否松动
更换读卡器"
8,输出板离线,"1. 检查输出板的指示灯是否正常亮起
- 是：进入步骤2
- 否：进入步骤3

2. 尝试重启分拣机，然后确认是否离线？
- 是：进入步骤3
- 否：问题解决

3. 输出板可能损坏，尝试按照操作视频更换输出板
- 打开电源，确认是否离线
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决",输出板故障？
9,货架离线,"1. 查看分拣机LED屏幕，确认是否能识别到货架RFID
- 是：进入步骤3
- 否：进入步骤2

2. 尝试重新插拔读卡器，观察是否恢复正常
- 是：问题解决
- 否：进入步骤3

3. 检查货架是否正常靠近读卡器，尝试重新插入货架，观察是否恢复正常
- 是：问题解决
- 否：进入步骤4

4. 检查货架RFID是否正常（可插到其他分拣机进行确认），尝试更换RFID并重新注册，观察量否恢复正常
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获得帮助
",分拣机没有读到RFID？
10,回零失败,"1. 检查回零过程中是否有异物遮挡Y轴路径，尝试清理异物，观察是否恢复正常
- 是：问题解决
- 否：进入步骤2

2. 尝试重新插拔或更换回零失败的电机连接线，观察是否恢复正常
- 是：问题解决
- 否：进入步骤3

3. 尝试更换回零失败的电机并重新注册，观察是否恢复正常
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获取帮助",更换电机连接线？
