序号,现象,排查指引,备注
1,充电桩不充电,"1. 检查充电桩开关是否打开
- 是：进入步骤2
- 否：打开充电桩开关，确认是否能充电?
- 是：问题解决
- 否：进入步骤2

2. 检查充电桩电源线是否有电量输入
- 是：进入步骤4
- 否：进入步骤3

3. 尝试重新插拔或更换充电桩电源线，确认是否能充电？
- 是：问题解决
- 否：进入步骤4

4. 检查充电桩夹嘴是否有杂物或损坏，尝试重新插拔或更换，确认是否能充电?
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获得帮助",
2,充电桩充电慢,"1. 确认是否只有这台机器人在此充电桩出现异常
- 是：请根据“机器人充不进电”这个现象的排查手册进行排查
- 否：进入步骤2

2. 检查充电桩下面的三颗LED灯是否都亮着
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：进入步骤3

3. 检查充电嘴是否有异物存在或者灰层太多，尝试清理异物和灰层，使用砂纸打磨充电嘴
- 观察是否还有问题?
- 是：进入步骤4
- 否：问题解决

4. 检查充电桩的充电嘴是否有变形或者爪齿无法按压，尝试更换充电嘴或者进行维修
- 观察是否还有问题?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决",
3,充电时只有部分灯亮？,,"充电嘴是否有变形
充电嘴是否有异物或灰尘
确认是否是单独小车的故障还是普遍的故障
快速充电时灯才全亮，慢速充电的时候灯是一闪一闪的"
4,小车到充电桩充电异常?,,具体异常是怎么样的？
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
