Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3
,错误码,错误描述,排查方法
,20D,"执行路径时,无地毯定位","1. 将机器人摆正
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤2

2. 检查地毯周边是否有异物
- 有：清理异物
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤3
- 没有：进入步骤3

3. 按照视频指引校准轮径
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤5

4. 检查左右两侧轮子在开机的状态下是否能锁紧
- 如果能锁紧，进入步骤6
- 如果不能锁紧，进入步骤5

5. 按照视频指引重新注册电机
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤6

6. 按照视频指引更换左电机并重新注册
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤7

7. 按照视频指引更换右电机并重新注册
- 观察是否继续报错?
- 否：问题解决
- 是：建议联系专业的售后技术支持人员获得帮助

"
,211,左电机离线,"1. 按照视频指引重新注册电机 [视频](https://chatbot.libiaorobot.com/wiki/videos/agv_register.mp4 ':include :type=video')
- 将机器人放回平台，打开电源，确认是否离线
- 在线：问题解决
- 离线：进入步骤2

2. 检查左电机的连接线是否松动，尝试重新插拔连接线
- 打开电源，观察电机上的状态指示灯
- 不亮：进入步骤3
- 亮：进入步骤4

3. 电机可能损坏，尝试按照操作视频更换左电机
- 将机器人放回平台，打开电源，确认是否离线
- 离线：建议联系专业的售后技术支持人员获得帮助
- 在线：问题解决

4. 将机器人放回平台，打开电源，确认是否离线
- 离线：建议联系专业的售后技术支持人员获得帮助
- 在线：问题解决

"
,212,右电机离线,"1. 按照视频指引重新注册电机 [视频](https://chatbot.libiaorobot.com/wiki/videos/agv_register.mp4 ':include :type=video')
- 将机器人放回平台，打开电源，确认是否离线
- 在线：问题解决
- 离线：进入步骤2

2. 检查右电机的连接线是否松动，尝试重新插拔连接线
- 打开电源，观察电机上的状态指示灯
- 不亮：进入步骤3
- 亮：进入步骤4

3. 电机可能损坏，尝试按照操作视频更换右电机
- 将机器人放回平台，打开电源，确认是否离线
- 离线：建议联系专业的售后技术支持人员获得帮助
- 在线：问题解决

4. 将机器人放回平台，打开电源，确认是否离线
- 离线：建议联系专业的售后技术支持人员获得帮助
- 在线：问题解决

"
,214,RFID板离线,"1. 查连接霍尔板的CAN线两端是否脱落或者松动，尝试重新插拔连接线
- 机器人放回平台，打开电源，确认是否离线
- 在线：问题解决
- 离线：进入步骤2

2. 尝试更换CAN线
- 机器人放回平台，打开电源，确认是否离线
- 在线：问题解决
- 离线：进入步骤2

3. 尝试更换霍尔板
- 机器人放回平台，打开电源，确认是否离线
- 在线：问题解决
- 离线：建议联系专业的售后技术支持人员获得帮助

"
,215,左电机故障,"1. 按照视频指引重新注册左电机 [视频](https://chatbot.libiaorobot.com/wiki/videos/agv_register.mp4 ':include :type=video')
- 将机器人放回平台，打开电源，观察是否继续报错?
- 否：问题解决
- 是：进入步骤2

2. 检查左电机的连接线是否松动，尝试重新插拔连接线
- 打开电源，观察电机上的状态指示灯
- 不亮：进入步骤3
- 亮：进入步骤4

3. 电机可能损坏，尝试按照操作视频更换左电机
- 将机器人放回平台，打开电源，观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

4. 将机器人放回平台，打开电源，观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

"
,216,右电机故障,"1. 按照视频指引重新注册电机 [视频](https://chatbot.libiaorobot.com/wiki/videos/agv_register.mp4 ':include :type=video')
- 将机器人放回平台，打开电源，观察是否继续报错?
- 否：问题解决
- 是：进入步骤2

2. 检查右电机的连接线是否松动，尝试重新插拔连接线
- 打开电源，观察电机上的状态指示灯
- 不亮：进入步骤3
- 亮：进入步骤4

3. 电机可能损坏，尝试按照操作视频更换右电机
- 将机器人放回平台，打开电源，观察是否继续报错?
- 离线：建议联系专业的售后技术支持人员获得帮助
- 在线：问题解决

4. 将机器人放回平台，打开电源，观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决 

"
,217,翻板电机故障,"1. 按照视频指引进行手动翻板测试
- 确认是否可以进行翻板动作
- 不能：进入步骤3
- 能：进入步骤2

2. 将机器人移除平台，关闭总电源一分钟，然后重新开机并放回平台
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤4

3. 按照视频指引重新注册电机
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤4

4. 检查连接翻板电机的CAN线两端是否松动，尝试重新插拔连接线
- 检查翻板电机的指示灯是否正常闪烁
- 是：进入步骤6
- 否：进入步骤5

5. 电机可能损坏，按照操作视频更换翻板电机
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤6

6. 将CAN线连接到另一个插口上
- 观察是否继续报错?
- 是：进入步骤7
- 否：问题解决

7. 更换连接翻板电机的CAN线
- 观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

"
,218,CAN总线故障,"1. 把所有的CAN线更换插口
- 机器人放回平台随机跑，观察是否继续报错?
- 否：问题解决
- 是：进入步骤2

2. 按照视频指引更换左电机并重新注册
- 机器人放回平台随机跑，观察是否继续报错?
- 否：问题解决
- 是：进入步骤3

3. 按照视频指引更换右电机并重新注册
- 机器人放回平台随机跑，观察是否继续报错?
- 否：问题解决
- 是：进入步骤4

4. 按照视频指引更换电源板
- 机器人放回平台随机跑，观察是否继续报错?
- 否：问题解决
- 是：建议联系专业的售后技术支持人员获得帮助

"
,21A,电机堵转导致解锁,"1. 检查发生错误的地毯上是否有异物
- 是：清除异物并把机器人在地毯上摆正，观察是否继续报错?
- 是：进入步骤2
- 否：问题解决
- 否：进入步骤2

2. 检查左右轮子是否被异物卡住
- 是：清除异物，观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：进入步骤3
- 否：进入步骤3

3. 关机一分钟再开机
- 观察是否继续报错?
- 是：进入步骤4
- 否：问题解决

4. 根据操作指引重新注册电机
- 观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

"
,21B,直行超1米无地毯定位,"1. 机器人摆正
- 观察是否继续报错?
- 是：进入步骤2
- 否：问题解决

2. 地毯周边是否有异物
- 是：清理异物，观察是否继续报错?
- 是：进入步骤3
- 否：问题解决
- 否：进入步骤3

3. 按照视频指引校准霍尔
- 观察是否继续报错?
- 是：进入步骤4
- 否：问题解决

4. 按照视频指引校准轮径
- 观察是否继续报错?
- 是：进入步骤5
- 否：问题解决

5. 检查左右两侧轮子在开机的状态下是否能锁紧
- 能：建议联系专业的售后技术支持人员获得帮助
- 不能：进入步骤6

6. 按照视频指引重新注册电机
- 观察是否继续报错?
- 是：进入步骤7
- 否：问题解决

7. 按照视频指引更换左电机并重新注册
- 观察是否继续报错?
- 是：进入步骤8
- 否：问题解决

8. 按照视频指引更换右电机并重新注册
- 观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

"
,21C,TOF避障雷达触发急停,"1. 清理障碍物并将机器人放在地毯上摆正
- 观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

"
,21D,直行偏航角太大,"1. 机器人摆正
- 观察是否继续报错?
- 是：进入步骤2
- 否：问题解决

2. 地毯周边是否有异物
- 是：清理异物，观察是否继续报错?
- 是：进入步骤3
- 否：问题解决
- 否：进入步骤3

3. 按照视频指引校准霍尔
- 观察是否继续报错?
- 是：进入步骤4
- 否：问题解决

4. 按照视频指引校准轮径
- 观察是否继续报错?
- 是：进入步骤5
- 否：问题解决

5. 检查左右两侧轮子在开机的状态下是否能锁紧
- 能：建议联系专业的售后技术支持人员获得帮助
- 不能：进入步骤6

6. 按照视频指引重新注册电机
- 观察是否继续报错?
- 是：进入步骤7
- 否：问题解决

7. 按照视频指引更换左电机并重新注册
- 观察是否继续报错?
- 是：进入步骤8
- 否：问题解决

8. 按照视频指引更换右电机并重新注册
- 观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

"
,21E,轮超速,"1. 机器人关机一分钟后重新开机
- 观察是否继续报错?
- 是：进入步骤2
- 否：问题解决

2. 检查左右两侧轮子在开机的状态下是否能锁紧
- 能：进入步骤5
- 不能：进入步骤3

3. 按照视频指引重新注册电机
- 观察是否继续报错?
- 是：进入步骤4
- 否：问题解决

4. 检查连接电机的CAN线两端是否松动，尝试重新插拔连接线
- 观察是否继续报错?
- 是：进入步骤7
- 否：问题解决

5. 按照视频指引校准轮径
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤6

6. 检查RCS界面的磁条图
- 确认左/右侧电机是否有报错
- 无：建议联系专业的售后技术支持人员获得帮助
- 有：进入步骤7

7. 按照视频指引更换左/右侧电机
- 观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

"
,21F,扫描雷达离线,"1. 外表观察小车雷达是否损坏
- 是：进入步骤3
- 否：进入步骤2

2. 拆开机器人，检查雷达线是否松动，尝试重新插拔
- 观察是否继续报错?
- 是：进入步骤3
- 否：问题解决

3. 尝试更换雷达
- 观察是否继续报错?
- 否：问题解决
- 是：建议联系专业的售后技术支持人员获得帮助

"
,222,24伏输出过电流,"1. 确认机器人是否发生过碰撞
- 是：进入步骤2
- 否：进入步骤3

2. 尝试重新启动机器人
- 观察是否继续报错?
- 是：进入步骤3
- 否：问题解决

3. 检查左右两侧轮子在开机的状态下是否能锁紧
- 能：进入步骤4
- 不能：进入步骤5

4. 按照视频指引进行手动翻板测试
- 确认是否可以进行翻板动作
- 是：观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决
- 否：进入步骤5

5. 按照视频指引重新注册电机
- 观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

"
,233,定位时里程计相关传感器没准备好,"1. 检查机器人的24V电压是否正常
- 是：进入步骤3
- 否：进入步骤2

2. 检查电源板连接线和电池线是否松动，尝试重新插拔
- 观察是否继续报错?
- 是：进入步骤3
- 否：问题解决

3. 检查电池电压是否正常
- 是：进入步骤6
- 否：进入步骤4

4. 根据操作手册检查电压是否平衡
- 是：进入步骤6
- 否：进入步骤5

5. 根据操作手册平衡电池电压
- 观察是否继续报错?
- 是：进入步骤6
- 否：问题解决

6. 更换电源板
- 观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

"
,234,目的地无地毯定位,"1. 清理地毯周边的异物，观察是否继续报错?
- 是：进入步骤2
- 否：问题解决

2. 按照视频指引校准霍尔 [视频](https://chatbot.libiaorobot.com/wiki/videos/agv_calibration_hall.mp4 ':include :type=video')
- 观察是否继续报错?
- 是：进入步骤3
- 否：问题解决

3. 按照视频指引校准轮径 [视频](https://chatbot.libiaorobot.com/wiki/videos/agv_calibration_wheel_diameter.mp4 ':include :type=video')
- 观察是否继续报错?
- 是：进入步骤4
- 否：问题解决

4. 检查左右两侧轮子在开机的状态下是否能锁紧
- 能：进入步骤6
- 不能：进入步骤5

5. 按照视频指引重新注册电机 [视频](https://chatbot.libiaorobot.com/wiki/videos/agv_register.mp4 ':include :type=video')
- 观察是否继续报错?
- 是：进入步骤6
- 否：问题解决

6. 按照视频指引更换左电机并重新注册 [视频](https://chatbot.libiaorobot.com/wiki/videos/agv_register.mp4 ':include :type=video')
- 观察是否继续报错?
- 是：进入步骤7
- 否：问题解决

7. 按照视频指引更换右电机并重新注册 [视频](https://chatbot.libiaorobot.com/wiki/videos/agv_register.mp4 ':include :type=video')
- 观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

"
,235,目的地地毯方向错误,"1. 检查发生错误的地毯方向跟其它地毯是否一致
- 不一致：进入步骤2
- 一致：进入步骤3

2. 调整地毯方向，确保所有地毯方向一致
- 观察是否继续报错?
- 是：进入步骤3
- 否：问题解决

3. 检查地毯背面的磁条是否安装牢固或偏移，请重新安装到位
- 观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决

"
,241,"执行动作时,世界坐标没有准备好","同“错误码233”

"
,242,"执行动作时,没有到达目标点附近","同“错误码233”

"
,244,"执行动作时,没有转到目标角度","同“错误码233”

"
,245,"执行动作时,扫描雷达没有准备好","同“错误码233”

"
,246,"执行动作时,机器人方向和目标角度方向不一致","同“错误码235”

"
