群ID,群名称,条数,是否完成,Unnamed: 4
19002068235@chatroom,PANDORA PROJECT,247,,
19501051574@chatroom,彼悦湖州仓小黄人售后群,3675,1.0,
20071614633@chatroom,立镖一号楼餐厅,4204,,
20134018460@chatroom,蚂蚁-立镖项目沟通群,3284,1.0,
20150763136@chatroom,LFTW项目联调测试群,6683,1.0,
20343753134@chatroom,宝尊-ESR-小黄人沟通群,8974,1.0,
20423365879@chatroom,宁德项目,7514,1.0,
20526256333@chatroom,022WB（天津）小黄人运营沟通群,2329,1.0,
20721559461@chatroom,贝泰妮-镖普_RaaS昆明仓（项目实施）,6235,1.0,
21135653461@chatroom,浙江立镖@华睿技术群,1753,1.0,
22732921771@chatroom,龙华图书馆分拣售后,18811,1.0,
25861018079@chatroom,+A Group,23929,1.0,2025-08-18
27869709224@chatroom,上海山姆干仓飞箱系统异常沟通群,4806,,
34433411414@chatroom,顺丰苏州吴江转运小黄人售后运营群,5081,1.0,
34603329821@chatroom,LBGN24012-佛山嘉里大通服装分拣项目,4423,1.0,
35012197034@chatroom,韩国AST-Logis【LBGW-20231127-234】,1072,1.0,
39218095897@chatroom,UniUni LA项目群,683,1.0,
44212311795@chatroom,九牧王硬件联调沟通群,3637,,
44389314635@chatroom,台湾统昶冷藏项目实施,53,,
44688327651@chatroom,LBGN24023-合肥邮政异形件分拣项目,29,,
44755002478@chatroom,Movex-CJ Project--Libiao,1948,,
44907403215@chatroom,LBGN23017立镖-新紫金中药分拣项目,9218,1.0,
45025606918@chatroom,立镖-隽云,3287,1.0,
45262590801@chatroom,希音美国印仓项目组,18910,1.0,
46172284347@chatroom,宝开（利郎）智能分拣售后,1519,1.0,
47345876591@chatroom,欧洲立镖分拣机项目联调群,9358,1.0,
47371866587@chatroom,南非Buffalo Peacock快递项目+,739,,
47611998508@chatroom,TKK-立镖千叶3D项目（客户沟通）,261,,
48020567553@chatroom,浙江立镖&威沃 技术交流群,6827,,
48489364522@chatroom,全世宁波实验室一立镖实施群,301,,
48680278962@chatroom,广州速仓-立镖（美团买药花都仓）,10032,1.0,2025-08-18
48856790823@chatroom,《物联网安装调试员》学员群,60,,
49076277174@chatroom,星柚改造项目沟通群,6555,,
49478976529@chatroom,三井飞箱项目 联络小群,1912,,
52817023364@chatroom,LBGN24099-兰州海鸿分拣项目内部群,2475,,
53467427453@chatroom,顺德大参林服务器部署沟通对接群,4086,1.0,2025-08-18
56958488777@chatroom,LBGN24093-上海希杰物流Crocs分拣项目,3299,,
57618998691@chatroom,VPN管理-大参林项目群,4584,,
57671797978@chatroom,浙江立镖&FOXKPC交流群,54,,
58136681717@chatroom,韩国AST-Cheongju项目技术支持,3563,,
