问题提出时间,问题描述,解决过程,解决过程.1
2023-08-14 14:27:00,客户报告AGV 146214的RFID信息无法读取。,客服初步排查网络连接、硬件更换和校准情况。客户确认未更换硬件，但尝试了C6和C7校准。客服诊断为传感器损坏，建议更换RFID读取基板。客户询问是否能寄送新基板（在保修期内）。客服告知先用备件更换，新备件需与吴婷沟通。吴婷随后询问物料代码，客服提供了MCB000230并得到吴婷确认。,"1.检查机器人的霍尔是否正常（可以通过查看机器人的硬件信息来确认）
-是：进入步骤5
-否：进入步骤2

2. 按照视频指引校准霍尔
   - 观察是否还有问题?
     - 否：问题解决
     - 是：进入步骤3

3. 检查霍尔板是否有损坏，尝试重新安装或更换
   - 观察是否还有问题?
     - 否：问题解决
     - 是：进入步骤4

4. 确认是否可以读取到地毯的RFID值
   - 否：进入步骤5
   - 是：问题解决

5. 更换地毯，并重新修改码文件中此坐标位置的RFID值
   - 观察是否还有问题?
     - 是：建议联系专业的售后技术支持人员获得帮助
     - 否：问题解决"
2023-08-17 15:50:00,客户报告AGV 103167在分拣中停止，重启后未恢复，但连接TV后可正常运行。客户请求查看日志以判断是否需要维修。,客服肖肖查看日志，诊断为机器人RFID板离线导致无法定位。客服询问现场恢复方式，客户告知是断电重启后一段时间恢复。客服建议对机器人进行检修，优先检查连接线，若无问题则考虑更换RFID板。客户表示将带回检修。,"1.检查机器人的霍尔是否正常（可以通过查看机器人的硬件信息来确认）
-是：进入步骤5
-否：进入步骤2

2. 按照视频指引校准霍尔
   - 观察是否还有问题?
     - 否：问题解决
     - 是：进入步骤3

3. 检查霍尔板是否有损坏，尝试重新安装或更换
   - 观察是否还有问题?
     - 否：问题解决
     - 是：进入步骤4

4. 确认是否可以读取到地毯的RFID值
   - 否：进入步骤5
   - 是：问题解决

5. 更换地毯，并重新修改码文件中此坐标位置的RFID值
   - 观察是否还有问题?
     - 是：建议联系专业的售后技术支持人员获得帮助
     - 否：问题解决"
2023-08-21 13:36:00,客户询问是否推荐定期重启RCS应用程序或RCSPC电源，因为日本客户现场PC和RCS长时间未重启。,客服肖肖建议每周重启一次电脑，并解释原因为Windows系统长时间运行可能产生垃圾文件占用内存，导致系统内存满。,建议每周重启一次电脑，因为Windows系统长时间运行可能产生垃圾文件占用内存，导致系统内存满。
2023-08-21 18:48:00,客户要求检查地图是否存在死锁问题，并确认地图修改后是否正常，以及能否支持从5台机器人增加到12台。,客服肖肖询问机器人数量并请求死锁截图。客户告知目前5台，未死锁，但地图有修改需确认，并计划增加到12台。客户催促尽快处理。客服肖肖确认地图没有问题，并增加了禁停区域。客户澄清目前没有另一张地图，就是这张地图需要支持12台。客服邵晓明确认当前地图可以增加车辆，并告知地图文件名为“アスクル_目黒区L字2.grid”。客户确认地图无问题，并约定次日现场作业时提供支持。,关于地图堵车问题，建议联系专业的售后技术支持人员获得帮助
2023-08-23 11:29:00,"客户报告在安川电机现场，其中一个充电器（坐标45,11）冒烟，目前已移除并更新地图。客户请求调查冒烟原因，并确认AGV充电时间是否变长。","客服肖肖询问发烟时间，客户告知当天上午移除，具体时间不详。客服肖肖确认客户已在地图中移除该充电桩。客服肖肖远程连接检查。客户询问另一个充电器（44,11）是否也异常，客服确认44,11正常。客服肖肖分析日志显示45,11充电桩充电失败居多。客服表示无法判断是否充电器本体故障，可能是接触不良或未通电。客户表示将返修该充电器，如有发现会再联系。后续，客户报告该充电器通电正常但LED不亮。客服肖侠驹判断如果开关电源没坏，则需更换测量板。客服肖肖询问是否有备用板，客户确认有。客户更换测量板后，充电器恢复正常。客户询问故障原因，客服表示无法判断具体原因，可能是板子问题。","1.检查保险有没有烧掉
-是：更换保险丝
-否：进入步骤2

2.视觉观察，电路板元器件是否有明显的烧糊现象
-是：更换电路板元器件
-否：进入步骤3


3.主控板指示灯是否闪烁
-是：建议联系专业的售后技术支持人员获得帮助
-否：更换主控板
"
2023-08-25 09:17:00,客户报告AGV 100030在行驶中陀螺仪传感器离线（错误代码247），导致紧急停车。,客服远程查看。客服肖肖诊断为陀螺仪离线导致机器人无法正常工作，需要更换BMSP板。客户确认会带回机器人更换BMSP板。,"1. 根据操作指引重新注册陀螺仪
- 观察是否继续报错?
- 否：问题解决
- 是：进入步骤2

2. 根据操作指引更换BMSP板，并联系客服人员修改机器人ID
- 观察是否继续报错?
- 否：问题解决
- 是：建议联系专业的售后技术支持人员获得帮助"
2023-09-04 13:25:00,客户报告AGV 161033显示错误303（输送带电机离线）。,客服肖肖建议客户拆开机器人检查翻板电机的连接线。客户尝试后问题依旧。客服肖肖建议尝试更换电机。客户更换电机后问题解决。客服肖肖确认更换后正常工作，并向相关人员申请提供一个新的电机。客服吴婷和周望标沟通提供电机物料号（ACC000556）以便补发给客户。,"1.拆机检查翻板电机的连接线是否松动
-是：重新插紧翻板电机的连接线
-否：进入步骤2

2.更换电机
观察问题是否解决？
-是：问题解决
-否：建议联系专业的售后技术支持人员获得帮助"
2023-09-05 14:40:00,客户询问AGV在紧急停止后，通过开关多次重启是否会导致分拣任务被意外删除，并询问该操作历史记录的产生方式及数据恢复功能的设置位置。,客服肖肖解释任务删除只有两种情况：机器人任务被重置，或RCS重启且未启用数据恢复功能，并强调该操作属于人为操作。客户确认RCS界面点击才会产生此历史记录。客服肖肖再次确认日志显示确实存在该人为操作。,任务删除只有两种情况：机器人任务被重置，或RCS重启且未启用数据恢复功能。
2023-09-05 16:50:00,客户报告对3D分拣机进行润滑后，刮擦噪音仍未改善，询问下一步操作。,客服项叶盛建议打开滑块检查内部轴承。客户确认是打开螺丝。客户检查后发现下侧的两个轴承有问题，感觉内部有裂纹。客服项叶盛要求提供视频确认，并诊断为两个轴承有问题。客户表示没有备用滑块，请求寄送。客服项叶盛表示会先查询并反馈。客服周望标确认需要更换滑块。客服项叶盛联系andy和吴婷走商务流程寄送滑块。吴婷要求提供物料信息。周望标表示第二天提供，并告知公司无库存需要采购。,"1. 检查异响发出的来源
- 电机异响：打开电机拿出红白色联轴器（下侧螺丝拧开后整个拿出），重新再安装上去拧紧
- 滑块异响：拆开滑块检查是否有损坏，有则需要更换
- 皮带异响：滑动皮带是否有卡顿，或者皮带相对于其他的太紧或者太松，进行适当的调节

2. 观察是否解决问题
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获取帮助"
2023-09-06 08:35:00,客户报告AGV 101111启动缓慢，带回测试后出现233错误（电机离线）无法移动。,客服项叶盛建议重新注册。客户尝试后仍报错，客服建议更换BMSP板，并告知更换后需重新注册和修改IP。客户请求更换BMSP后由客服协助修改IP。客户更换BMSP后报告启动时仍有错误，再注册时也报错。客服远程查看。客服项叶盛怀疑有线未插好。客服肖肖通过开关机器人确认有反应但仍报错。客服要求拍摄电机指示灯情况，客户反馈两个电机灯都灭。客服肖肖询问更换BMSP时电源板是否一起更换，客户确认只更换了BMSP。客服肖肖建议尝试更换电源板，可能原来的BMSP是好的。客户确认会将BMSP换回原来的，电源板换新的，并于次日确认更换主板后机器人正常运行。,"1. 检查机器人的24V电压是否正常
- 是：进入步骤3
- 否：进入步骤2

2. 检查电源板连接线和电池线是否松动，尝试重新插拔
- 观察是否继续报错?
- 是：进入步骤3
- 否：问题解决

3. 检查电池电压是否正常
- 是：进入步骤6
- 否：进入步骤4

4. 根据操作手册检查电压是否平衡
- 是：进入步骤6
- 否：进入步骤5

5. 根据操作手册平衡电池电压
- 观察是否继续报错?
- 是：进入步骤6
- 否：问题解决

6. 更换电源板
- 观察是否继续报错?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决"
