问题提出时间,问题描述,解决过程
2023-12-18 15:13:34,机器人没电了，无法开机，具体有19/39活跃，一个被删除，多数因夜班未开启“等待模式”导致电量低，目前有16/39，随后降至13/39。,客服安稳询问夜班是否没关机。客服安稳建议先对机器人充电才能开机，并尝试远程操作。客户表示不理解远程操作方式，罗旋建议直接中文沟通或使用TeamViewer连接。客服安稳开始绘制充电地图，并告知客户将无法开机的小车先移下线，待其他能开机的充完电后再手动去充这些小车。客服安稳确认关机原因是电量过低，并指导客户将机器人放到充电桩内插好即可手动充电。客服安稳告知每台机器人充五分钟左右即可开机，并要求客户录一段视频以查看充电桩指示灯情况是否充上电。客服安稳指导客户将充完电且能开机的小车重新加回平台。
2023-12-18 16:21:53,虽然客服建议手动充电，但现场只有3个充电桩，而有15个机器人需要充电。,客服安稳表示目前没有其他办法，只能轮流充电，强调只需充五分钟使其能开机即可。客服安稳再次要求客户发送视频以确认充电桩指示灯状态。
2023-12-18 17:21:13,编号为1831242的机器人无法开机，一直处于初始化状态；随后补充3236、3244也有此问题，且这些机器人已充电但仍无法开机，导致活跃机器人数量仍不足24/40。,客服安稳告知客户所有不能正常开机的机器人都需要充电，已充电的先关机保存电量。客服安稳要求客户将183236再次充电，并确认183124和183244是可以正常开机的。客服Yvemip9接手后，要求客户找到并充电指定编号的机器人（183122、185046、185016），并随后补充了185013。客户Roman Medvid按指示进行操作和确认。客服Yvemip9再次要求183122充电，并确认了185013也需充电。客户Roman Medvid确认按指示进行充电操作。客服Yvemip9随后确认充电中的机器人可以取出，且已充满电。
2023-12-18 19:18:33,客服Yvemip9询问客户是否还有机器人没有加上系统。,客户Roman Medvid表示正在手动运行机器人，并询问是否可以开始运行系统。客服Yvemip9指示将机器人加入系统中，并等待。随后，客服Yvemip9建议让机器人再充会儿电。最后，客服Yvemip9通知客户所有机器人状态良好，可以开始运行。
2023-12-18 20:03:20,客户计划在GLP场地启动T-sort系统的设置，需要获取相应的应用程序和机器的IP地址。,客户Roman Medvid和Piotr Mazur确认需要IP地址。客服Yvemip9询问是否需要设置二维码功能以及是哪个场地。在客户Piotr Mazur明确场地为BGLB-GLP01-01后，客服Yvemip9表示当天可能仍在分拣，建议次日（波兰时间上午9点）停止分拣后进行系统更改。
2023-12-18 20:04:28,无法设置扫描仪。,客户Roman Medvid随后表示问题已自行解决，因为发现只是IP地址不同。
2023-12-18 20:06:55,如何更改域（Domain）。,客户Roman Medvid在随后的消息中表示问题已自行解决。
2023-12-18 20:16:03,请求客服帮助释放PNT01-067播种墙。,客服Yvemip9和Ψθ、进行检查和处理。客服Ψθ、随后通知客户再次尝试，客户Roman Medvid确认播种墙已正常工作。
2023-12-18 20:55:46,GLP场地的T-sort系统出现问题，新分拣机上通道不可见，因为标签上只有QR码而没有条形码，导致系统无法读取。,客服Yvemip9确认问题，并询问是哪个场地。在客户Piotr Mazur确认是BGLB-GLP01-01后，客服Yvemip9表示系统可能仍在分拣，建议等待分拣完成后再进行修改。客户Piotr Mazur同意第二天（波兰时间上午9点）停止分拣后进行系统更改，客服Yvemip9确认可以。
2023-12-19 15:24:22,发货大箱已关闭，但现场操作人员仍会扫描并绑定箱子，导致系统出现告警，怀疑是现场操作规范未落实好。,客户陈兆潘向罗旋和廖锡博提出此问题，并要求普及操作规范。客服陈兆潘随后解释，包裹若无法匹配正常的通道格口，则会匹配到非通道格口。由于PNT01-041是一个非通道格口，所以包裹会去那里。客户Roman Medvid表示理解，并计划打开新通道来解决。陈兆潘要求Roman Medvid通知现场工人标准化操作。
2023-12-19 16:01:10,包裹E23121900035235应该投放到PNT01-041格口，但该格口未设置（未配置通道），却有包裹投递过去。,客服陈兆潘解释：包裹如果无法匹配正常通道的格口，系统会将其匹配到非通道格口。因为PNT01-041是非通道格口，所以包裹会被投递到那里。客户Roman Medvid表示理解，并表示将为此通道打开一个新的格口。
2023-12-19 16:22:38,GLP场地计划进行T-sort系统设置，但客服表示需要切换系统且WMS需要添加设备，但尚未收到切换通知。,客户罗旋确认WMS团队已沟通，并表示目前GLP设备未在使用，可以直接升级，之前的包裹将人工分拣。客户陈兆潘与周雨瑾确认了IP和端口信息。廖锡博随后告知设备编号已更改为PLGLPB01，格口编号为GLPB01-001至GLPB01-090。客服周雨瑾表示未接到更改通知，调整不便。陈兆潘完成数据初始化，并与周雨瑾确认设备编码和配置状态。周雨瑾表示还需要大量基础数据配置，预计需要一天。
2023-12-19 19:09:44,请求释放PNT01-088格口，因为无法绑定新的出货容器编号。,客服Yvemip9询问问题内容，客户Roman Medvid明确是无法绑定新的容器。客服Yvemip9和周雨瑾尝试处理，最初因笔记本电脑停留在键盘上导致错误。客服周雨瑾确认问题已解决，但客户仍无法绑定。客服Ψθ、和周雨瑾检查后重新发送消息，客户Roman Medvid确认问题解决，可以绑定并开始分拣。
2023-12-19 21:34:17,GLP场地的设备编号和格口编号已更改为：设备编号PLGLPB01，格口编号GLPB01-001 ~ GLPB01-090，但客服未收到通知，表示更改不便。,客服周雨瑾表示未收到通知，并强调更改一次很不方便。罗旋催促周雨瑾尽快调整。客服Yvemip9询问扫码台IP。健仔又瘦了🤠（探索版）提供了IP。Yvemip9确认完成修改。
2023-12-19 23:50:39,下发指令报错，提示格口编号GLPB01-001和GLPB01-002不存在。,客服Yvemip9确认已修改格口编号。客户陈兆潘询问路径是否配对，并报告下发404错误。客服Ψθ、确认当前的格口还是旧的GLP01-001。陈兆潘确认路径正确，问题在于格口没有调整。周雨瑾解释是客户自己更改了编号，导致客服调整需要很长时间。客服Ψθ、最终确认已完成格口修改。
2023-12-20 14:30:49,格口PNT01-022已绑定容器FHPO231220000433，但又尝试绑定其他容器FHPO231220000598。同时，已关闭的容器FHPO231220000390为何又尝试绑定。,客服陈兆潘提供了绑定和关闭的时间戳。客户Roman Medvid承认是人为错误。客服陈兆潘要求通知现场工人进行标准化操作。
2023-12-20 18:52:26,GLP场地的URL是否更改，以及存在二级问题。,客服ERIC和周雨瑾确认URL正确。客户Piotr Mazur确认无误。
2023-12-20 19:35:34,无法向格口添加任何通道。,客服Ψθ、检查。客户Piotr Mazur建议Roman Medvid尝试。Roman Medvid随后确认通道已成功添加。罗旋解释可能是格口绑定箱子导致无法添加新通道，需等待格口空闲。Roman Medvid表示理解并确认问题已解决。
2023-12-20 22:00:27,GLP场地不支持箱码。,客户Roman Medvid指导Piotr Mazur先处理BIN。Piotr Mazur尝试后仍不行。客服Ψθ、提供了GLP场地的正确IP地址10.46.118.22和端口8980。Piotr Mazur确认工作正常。
2023-12-21 16:09:18,GLP场地出货标签带有QR码，需要确认扫描仪是否能扫描这些QR码，以及格口是否正确连接。,客服周雨瑾提供了GLP场地的正确格口编码格式（[GG]PLGLPB01:GLPB01-001 ~ [GG]PLGLPB01:GLPB01-090），并确认该格式可工作。客户Piotr Mazur确认问题解决。
2023-12-21 19:55:33,GLP场地无法绑定任何箱子。,客服陈兆潘询问周雨瑾和Ψθ、设备编码PLGLP01是否错误，应为PLGLPB01。周雨瑾表示稍等，随后通知客户再次尝试。Piotr Mazur确认问题解决，现在可以正常绑定箱子。
2023-12-21 20:40:43,GLP场地存在QR码读取问题，询问是否可以安装此功能。,客服周雨瑾回复本周将更新QR码扫描功能，但需要调整摄像头配置，因此需要一些时间。
2023-12-22 15:23:25,大部分来自法国（69）和捷克共和国的包裹未生成T-Sort分拣任务，例如E23122200002328和E23122200007144。,客服周雨瑾询问客户是否无法收集包裹。客户Roman Medvid表示已收集，但可能存在信息未成功上报问题，需要查看。客服周雨瑾在一段时间后确认问题解决，客户可以绑定新的容器。
2023-12-22 15:33:00,请求客服释放PNT01-018格口。,客服Yvemip9和周雨瑾进行处理。客服周雨瑾随后确认问题解决，客户可以绑定新容器。
2023-12-23 17:39:44,请求客服释放PNT01-035格口。,客服Ψθ、进行处理，随后通知客户再次尝试。客户Roman Medvid确认问题解决。
2023-12-25 10:39:20,容器FHPO231223000342中部分子包裹（例如E23122300022493、E23122100137836、E23122200094971）落件后回传，但在集包时没有回传。,客服Ψθ、排查后发现立镖系统内该容器关箱有15条明细，但上报信息只有12条，且少上报的3条是最后写入数据库的。初步推断为数据库主从同步延迟导致。已做出调整：1.调整日志级别；2.查询改为走主库。后续将继续观察是否还会出现同样问题。
2023-12-27 13:53:06,大量包裹未能进入T-Sort系统，有时只能通过一个包裹。,客户Roman Medvid要求Kamil Goranowski提供包裹编号示例（不含双条形码），以便进一步排查。
2023-12-28 21:20:51,GLP场地任务状态异常：包裹打包完成后任务状态为“Published”，但应自动更改为“Issued”，而T-Sort系统只能分拣状态为“Issued”的包裹，且AAqNL-DPO-PA-BN-Na通道上的状态未自动更改。,客服李亚彬要求客户提供全屏截图和更详细的问题描述。李亚彬随后反馈从当天下午起立镖系统就没有回传数据，只有下发日志，并请求补推数据。田陆野也要求补推并排查。客服Ψθ、确认有上报数据（PNT和GLP桌平台项目），并提供了GLP仓包裹E23122700072015和PNT仓容器FHPO231228002461的落件和满箱上报示例，表示落件和满箱数据正在上报。
2023-12-29 00:00:07,客户请求查询包裹E23122800012769的状态，疑问该包裹目前处于WMS还是已下发状态，并询问为何没有回传记录。,客服初步诊断为没有分拣记录。后续查明是因为箱内件数过多（270件），导致创建上报记录时请求体长度超长，创建失败，从而没有成功上报。客服修改了字段长度，并补报了关箱信息。客户随后确认关箱成功。
2023-12-29 01:35:31,客户询问是否有支持清除所有带有系统错误的墙体的功能。,客服未提供明确的解决步骤，讨论转向获取设备编号以进行检查，但未见系统错误被清除的明确结果。
2023-12-29 18:06:10,客户提及系统没有过滤功能，并表示未来需要修复。,客户反馈此为已知问题，客服未提供即时解决方案，表示需要“未来修复”。
2024-01-02 19:13:08,客户反馈二楼T-sort电脑开机后显示黑屏，无法正常工作。,客服询问是否开机，客户确认已开机。最终客户自行发现是HDMI输入被更改导致的问题，并已解决。
2024-01-02 19:15:33,客户报告二楼T-sort系统在全部电源开启后，有5台机器人显示离线。,客服建议客户检查机器人是否正确归位。客户自行排查后发现是机器人电量低，并删除了4台机器人，表示将在可能时将其推入。
