问题提出时间,问题描述,解决过程
2024-10-14 14:09:32,客户要求尽快提供地图和设备信息。后续客户提出需要三台服务器的IP地址（一台上层、一台下层、一台备份）以及主电控箱AP的IP地址和外网地址，并需将RCS安装包部署到服务器以进行扫图。,客服Devin回复稍后提供地图，并安排小周现场查看设备信息。客户提供AP的IP地址。客服Wang表示会尽快处理安装包部署，但手头有事，将请同事协助。客服LB-Louis-陈振林接手，确认RCS部署目标是标准版扫图。客户指明将其中一台服务器用作上层RCS，并要求检查其内网IP是否已配置为192.168.2.3，另一台配置为192.168.2.4作为下层。客服发现服务器内网网线未连接，导致无法配置。Devin澄清目前服务器IP均未配置，可随意选择一台配置为上层RCS并设为192.168.2.3。客服解释RCS服务器需要两个网口，一个接外网，一个接内网交换机，内网交换机再连接AP及扫码台电控箱。客户现场人员重新接线后，客服确认网络状态已恢复正常。客服获取到地图和JSON文件，并要求现场插上加密狗。加密狗插上后，部署环境准备就绪。
2024-10-15 02:41:45,在进行地图扫描时，AP（无线接入点）离线，导致小车无法连接，现场小车在移动但RCS界面上不显示其位置，界面卡顿，有时小车报错或识别不到RFID地毯。,客服LB-Louis-陈振林指导现场人员检查AP连接情况及网络布线（服务器-交换机-电控箱），并要求重启AP。现场人员发现所有AP灯不亮，怀疑断电，客服指导检查供电并插拔电源线。在排查AP网络连接问题后，客服确认AP恢复在线。针对界面卡顿问题，客服决定更换RCS软件版本。对于小车识别不到RFID地毯或报错，客服指导现场人员更换问题地毯，并调整小车方向，将其放置到已扫描过的地毯区域并按A键进行矫正。客服还指导客户增加小车数量以加快扫描进度，并提示当小车报错时需要人工处理。
2024-10-15 06:05:16,客户询问充电桩的位置是否正确，小车似乎停在靠近边上的第二个格子里，并且客服注意到小车运行一段时间后状态变为“白了”（可能指示电量低或异常）。,客户Devin要求现场拍摄实际位置并对照地图查看。客户告知充电桩尚未安装。Devin确认地图上的充电位置是正确的，并建议先放置两个充电桩。客服LB-Louis-陈振林建议在安装充电桩后再进行测试，以免小车自动关机需要手动充电。客户同意第二天安装充电桩后再进行测试。
2024-10-15 05:40:38,客户询问扫码台是否已配置，并需要获取项目对应的RCS版本（特别是相机版本），担心当前多伦多版本不适用。后续客户希望客服在现场配置192.168.2.4的RCS并确认扫码台版本。,客服LB-Louis-陈振林表示不清楚具体部署要求，建议联系陈勇获取最新版本，旧版本可用但可能不兼容。客户决定白天再确认版本。客服Jacky接手，请求远程连接，但发现目标服务器192.168.2.4无法连接。客户确认只有2.3服务器可连，推测网络有问题。Jacky告知客户会向夜班同事交接扫码台版本信息，并确认已从陈勇处获取到扫码台程序。客户告知扫码台IP尚未设置，待晚上现场人员设置后提供。
2024-10-15 16:24:30,客服阿凯提出当前项目没有`镖普的hub`，询问上游WMS系统如何与两层RCS系统对接。客户茜茜Caelyn进一步询问如果没有Hub，如何处理双层的落格，是否需要WMS配置两个接口地址来区分上下层RCS，以及在没有Hub的情况下，RCS向WMS请求数据后，WMS如何将返回结果区分给不同的RCS系统。,客服WY解释RCS是向Hub请求数据，理论上WMS无需关心RCS的地址，因为没有异步请求。WY建议WMS可以通过URL或者请求的设备号来区分上下层RCS的请求。客户茜茜Caelyn表示担忧上游WMS系统可能不支持这种多地址配置，并质疑是否应有一个统一的对接出口。客服阿凯强调目前情况下，客户可能只能让WMS接受现有方案。客户茜茜Caelyn提出可以在一台外网服务器上做转接。在后续沟通中，客户Devin提醒尚未与客户WMS对接测试，并告知客户WMS需要格口号和设备code进行配置。客户茜茜Caelyn提供了一个请求地址，并告知设备编号设定为9，返回落件结果的地址暂时不测试。
2024-11-09 03:44:36,客户伴玖见人心、反映上层小车加上去后似乎无法连接。客服发现AP离线，进一步排查发现所有AP灯不亮。伴玖见人心、询问是否内网未接通，并表示机箱内交换机灯在闪。随后客服发现内网电脑无法连接到任何设备，上层服务器也无法ping通。客户反映下层RCS也打不开，且小车也未连接上，怀疑下层AP也不通。,客服LB-Louis-陈振林指导现场人员重启AP，但问题未解决。客服建议检查AP供电情况，并插拔电源线。客户确认AP灯仍不亮。客服要求切换到下层查看情况，发现下层AP是通的，只有上层不通。客服怀疑是上层电脑问题，指导客户重启上层电脑。重启后，客服确认上层网络恢复正常，并发现之前远程连接时上层网口的子网掩码出现变化。客服指导客户将场地上的小车放置在地毯中间以自动调整位置。客户表示工人已下班，将把小车关机，第二天再安排调整位置。
2024-11-10 22:17:13,客户需要配置满包、相机和剩余的AP。,客服确认值班，与客户沟通配置时间。客户提供IP表。客服尝试远程连接进行配置，并确认是下层电脑。
2024-11-10 22:44:50,客服反馈扫码台网段不同，无法远程配置。客户询问如何解决。,客服告知AP已配置完成。客服提供了扫码台IP地址和子网掩码（192.168.x.x，255.255.0.0）供客户修改，并提醒IP不能重复。客户确认并完成IP修改，发送了更新后的IP表。客服进一步确认了扫码台排布和相机方向等信息，随后完成了相机配置。
2024-11-11 01:36:22,满包系统类型为按钮盒，且带传感器，需进行格口注册和塔灯配置。客户确认上下层共用格口。,客服要求客户拍照确认传感器细节和格口共用情况。客户确认了塔灯连接的格口位置。客服指导客户按顺序点击按钮进行格口注册。过程中出现按钮盒不亮的情况，指导客户检查连接线并修复。注册完成后，客服表示将配置塔灯，并向客户确认了格口名称和塔灯分组逻辑，客户提供了详细的分组说明。客服根据信息完成了灯条（塔灯）的配置。
2024-11-11 02:47:30,在注册按钮盒时，发现有一个按钮盒没有亮。,客服指导客户检查连接线。客户检查后，按钮盒恢复正常。随后，客服继续引导客户注册剩余按钮盒，并确认了现场有部分格口没有安装按钮盒，客服据此跳过这些缺失的格口进行注册。客服告知客户缺失的按钮盒安装好后需再次注册。
