问题提出时间,问题描述,解决过程
2023-10-23 20:56:00,客户询问长期不使用机器人时，是否应该点击'all power off'。,当长时间不使用机器人请将机器人关机。同时不要删除列表中的机器人，如果需要删除请将对应编号的机器人从平台上拿下来
2023-11-07 00:51:00,第五套扫码台的电脑触摸屏损坏，导致操作人员只能使用鼠标，操作不便。客户询问是否有备用电脑或触摸屏可以更换。,请更换损坏的电脑，如没有备件则联系商务进行详谈
2023-11-09 06:34:00,在登录PDA时出现报错。,"1.查看pda网络是否连接正确，pda需要连接到立镖和上游系统通讯的网络里
  -是：进入第2步
  -否：连接正确的网络重试并询问是否解决
    -是：问题解决
    -否进入第二步
2.连续点击屏幕空开的地方7次调用出设置界面，查看ip和端口是否配置正确，可参考其他正常pda的ip和端口。
  -是：联系专业的售后技术人员处理
  -否：配置正确的ip和端口，并再次扫描，如问题为解决联系专业的售后技术人员处理"
2023-12-19 21:43:00,分拣机5号在处理B标签（Label B）时出现问题，无法进行RC装箱（rc boxed），导致现场操作人员需要手动处理剩余的扫码操作。,客服张皓琪要求客户提供所有出现问题的格口编号以便统一处理。客户Enzo Ferreira随后确认J&T出口的问题已解决，整体操作恢复正常。Renato Alencar也确认B标签包裹无法装箱的问题已解决。客服张皓琪建议重新绑定以确保系统正常。
2023-12-20 01:09:00,许多格口被锁定，客户列出了Sorter 05、04、02、01、08、07、06上具体被锁定的格口。,客服周山子和立镖张皓琪逐一检查并解除锁定。周山子陆续确认Sorter 05、02、04、01、08、07、06的格口恢复正常。客户在Sorter 08解除锁定后遇到无法关闭格口的问题，客服指导客户尝试绑定新容器、刷新、登出再登录操作后解决。最后，客服确认所有格口问题已解决。
2023-12-20 03:03:00,Sorter 02的068格口和Sorter 08的027格口仍然堵塞。,客服周山子和立镖张皓琪指导客户尝试绑定新容器，并确认问题已解决。
2023-12-20 03:18:00,Sorter 07的02、14、16、42和88格口仍然堵塞。,客服立镖张皓琪确认这些格口问题已解决。
2023-12-20 03:51:00,Sorter 07的88号格口仍然堵塞。,客服立镖张皓琪提供了具体的绑定指令：'RC07-088与RCBAGS0003861绑定'。
2023-12-20 04:51:00,Sorter 01将包裹M03-16掉落到格口M03-19 (BRRC01:RC01-064)上。,客服周山子要求客户提供子包裹编号，但根据现有聊天记录，该问题未明确解决。
2023-12-20 10:36:00,断网情况下，关箱回传的包裹数量比实际落件的包裹数量少。例如，某个箱子应回传43个包裹，实际只回传1个。客户询问这是否是人工组装数据补推。,客服周山子确认是人工补推数据以加快处理。客服立镖张皓琪解释是由于网络异常导致数据库组件异常，部分格口数据异常，经人工修复并补推数据。客户建议T-sort系统提供健康检查接口，并针对离线场景提供自动/手动恢复预案。客服表示可以沟通增加心跳接口。
