dispose_type_name,dispose_content,解决方案,备注
换货,老鼠钻入小车，电源板被腐蚀,"1.检查机器人是否能够开机
-是：电源板等电路板未损坏（可用毛刷进行清理后使用）
-否：进入步骤2
2.拆机测量BMSP板（万用表测量，一支表笔搭在保险左侧，一直搭载地线）看是否有5V电压
-是：BMSP损坏，需要更换BMSP（后续需售后专业人员进行程序升级，车号更改）
-否:电源板损坏，需更换电源板",老鼠多的场地可以加装防鼠板，以减少老鼠进入车体内部的几率
换货,老鼠钻入小车，BMSP板被腐蚀,"1.检查机器人是否能够开机
-是：电源板等电路板未损坏（可用毛刷进行清理后使用）
-否：进入步骤2
2.拆机测量BMSP板（万用表测量，一支表笔搭在保险左侧，一直搭载地线）看是否有5V电压
-是：BMSP损坏，需要更换BMSP（后续需售后专业人员进行程序升级，车号更改）
-否:电源板损坏，需更换电源板",老鼠多的场地可以加装防鼠板，以减少老鼠进入车体内部的几率
换货,X轴滑块轴承破损，异响。,更换x轴滑块轴承（请参考x轴滑块轴承更换视频）,
换货,小车进水受潮导致电源板故障,"1.检查进水原因，并杜绝同类事故
2.更换新电源板（请参考机器人电源板更换视频）",新电源板都有三防漆，能一定程度防止进水，潮湿导致的故障
换货,底盘破损。（可能是因为减速器漏油导致的底盘腐蚀）,1.建议更换新底盘，更换翻版减速器，新底盘更换需要新固定螺丝，需要4.2钻头对主动轮减速器扩孔。,
换货,电机电容损坏，不通电。,更换电机，机器人需重新注册，分拣机需要对新电机写号,
换货,电动货槽减速机漏油,更换货槽蜗杆减速器,
换货,电动货槽线束破裂,更换电动货槽线束,
快速处理,客户反馈66162MINI机器人无法充电，寄回后发现充电模块M4 MOS管烧坏，更换MOS管恢复,如果不具备修复Mos管的条件则更换整个电源板,
换货,电池模块检测平衡和温度的元器件脱焊，导致小车自动关机。小车编号：（131031）,"1.检查小车是否实际关机(机器人车尾按钮闪烁是未实际关机)
-否：检查机器人无线模块
-是：进入步骤2
2.检查机器人自动关机后是否会自动重启
-是：拆机检查机器人电池温控线是否插紧，温控板是否有脱焊等情况，如有脱焊请更换电池温控板
-否：进入步骤3
3.拆机检查机器人BMSP，电源板(一只表笔搭在BMSP保险，一只搭在地线)是否有电压
-是：更换BMSP
-否：更换电源板",
运维,8号分拣机电机过载卡死,"1.在分拣机LED屏幕查看报警信息,是否有电机过载信息
-否：重启分拣机
-是：进入步骤2
2.分拣机断电，手动滑动是否有卡顿
-否：重启分拣机
-是：找到具体卡顿位置，更换滑块或轴承
",
换货,网络AP  POE接口不通电，导致AP网络不通,"1. 在装有RCS的电脑上，对AP的IP进行ping操作，确认是否能ping通
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：进入步骤2

2. 检查AP的网线和电源是否正常，尝试重新插拔网线和电源线
- 观察是否离线?
- 是： 建议联系专业的售后技术支持人员获得帮助
- 否： 问题解决",
换货,更换霍尔板（机器人115056霍尔板读取不了磁条图）待送回检测,"1.更换霍尔板（参考更换霍尔板视频）
-是:问题解决
-否：进入步骤2
2.更换BMSP板
-是：问题解决
-否：请联系专业售后技术人员支持",
快速处理,按键板按键脱落（车号66239）,更换按键板,
换货,"1、127084 127085小车翻板总成更换（小车经常出现翻板回不到位的情况，回零后正常使用一段时间后又会出现回不到位的情况）。
2、更换思科交换机。",大概率减速器问题，尝试更换减速器观察效果,
快速处理,场地整体检查，小车万向轮垃圾处理，平台与手指连接处翘起处理，充电桩检查。,请参考立镖巡检检查表进行逐项检查,
快速处理,分拣机滑块加油，小车万向轮检查，地毯翘起处理，掉落挡边固定。,请参考立镖巡检检查表进行逐项检查,
换货,1.电动滑槽右边光电感应器坏掉，更换光电感 2.3号扫描台电动滑槽脚轮脱落做重新安装紧固   3.平台1号手指格口出现不集包现象，现场检查灯条，线路没有出现故障，只有回路接口线束太紧，导致航空插头有破损现象，处理结果对输入线束进行更换，回路线束长度做调整，同时对航头插口做了加固。,,
快速处理,"1：七号分拣机5号电机can线接触不良，更换后测试良好。
2：分拣机线束重新固定，魔毯突起处理，小车检查，挡边固定，接货角度调整等常规巡检维护。",,
快速处理,货架rfid更换注册及位置调整，小车检查，魔毯突起处理，平台挡边检查固定，分拣机滑块润滑保养，内存查看，充电桩固定及充电嘴检查，翻版螺丝检查，二号五号分拣机一号电机异响处理。,,
快速处理,"1：充电桩固定，分拣墙固定块更换，平台挡边固定，精益管紧固，过于短的打自攻钉紧固，分拣墙修正.rfid更换注册，小车检查等。
2：分拣机电源线松掉，重新插好，并紧固精益管。",,
快速处理,地毯连接处出现破损，现对左边上层部分地毯破损的连接处做修补实验，使用一定时间查看使用情况。,,
快速处理,102153小车万向轮固定柱断裂，需更换底盘。,,
快速处理,挡边加固，地毯突起处理，分拣机滑块润滑油加注，部分货架加固，102141小车更换万向轮弹簧，小车基板检查，充电桩固定等常规巡检。,,
快速处理,102117小车维修，充电桩固定，魔毯检查，小车检查，等,,
快速处理,小车万向轮检查，基板检查，充电桩充电嘴检查，魔毯检查，电脑内存检查，小车轮径检查，等,,
换货,130246小车右轮减速器异响，更换主动轮总成。,,
快速处理,分拣机滑块润滑油加注，小车检查。挡边检查，充电桩固定，小车紧急充电，等。发现现场车服软件可能长时间不关，建议他们一周到两周要重启一次,,
快速处理,充电桩固定，充电嘴清理，挡边检查，小车万向轮检查发现有垃圾缠绕，170244翻版电机电源线插头接触不好，换一个插头插进去就好了，130246更换主动轮总成，配合研发解决存图服务器图片丢失问题,,
换货,更换 X轴滑块滚轮2个（分拣机X下轴移动时有异响、卡顿的现象，检查发现是因滚轮损坏所致）           更换读卡器（分拣完成后及插拨货架，彩虹灯不会切换灯光模式）,,
换货,更换 X轴滑块滚轮2个（分拣机X下轴移动时有异响、卡顿的现象，检查发现是因滚轮损坏所致）           更换读卡器（分拣完成后及插拨货架，彩虹灯不会切换灯光模式）,,
换货,更换 X轴滑块滚轮2个（分拣机X下轴移动时有异响、卡顿的现象，检查发现是因滚轮损坏所致）           更换读卡器（分拣完成后及插拨货架，彩虹灯不会切换灯光模式）,,
换货,更换小黄车底盘2个（100241小车右电机位置破损，怀疑是上次更换螺丝时打偏了，导致撞车后破损；116116小黄车翻板电机位置，可能是减速器漏油导致底盘腐蚀）  更换读卡器4个（分拣完成后及插拨货架，彩虹灯不会切换灯光模式）,,
换货,电源板故障,,
快速处理,"八号分拣机雷达板和5号电机的连接线插头接触不良，原因是雷达板经过撞击，处理方案是拆除雷达板及雷达，将电源线连接到hup板上。
皮带机皮带不转，皮带松紧度太松，摩擦力够，紧固皮带。
分拣机接货位置摩擦电机，紧固翻版下翻版电机减速器支架螺丝，会好很多。
培训现场主管五号电机电源线更换注意事项，和传送机皮带紧固方法。",,
换货,"更换 X轴滑块滚轮2个（分拣机X下轴移动时有异响、卡顿的现象，检查发现是因滚轮损坏所致）           
更换小车功能按钮键1个（功能按钮键，A键失灵）",,
快速处理,"故障：9号分拣机3，4，5号机离线
原因：扁线无电压
处理方案：更换扁线及更换其他11台分拣机扁线",,
快速处理,地毯翘起处理，小车万向轮检查，扫码相机调试。,,
换货,万向轮固定座断裂，更换底盘。,,
换货,1号线7号分拣机：2号电机离线，电机红灯常亮，更换电机。,,
运维,小车分拣中不走,"请给出具体的信息或报错信息
（根据给出的信息或报错码输出操作指引）",
报废替换,格口灯条时常离线，回路线航空头破损换新，重新安装，后期观察,,
换货,更换5号电机CAN线（WIR000294） 分拣机故障提示5号电机离线，检查发现是CAN里 黄色电线脱落，导致5号电机离线。,,
换货,124236、128157小车BMSP板5v模块损坏灯都不亮了，怀疑场地受潮影响有水珠导致BMSP板损坏,,
换货,5-4-2设备 下层电动货槽 更换皮带（电动货槽滚动轴内夹有异物，长时间运转磨破了表皮；已清理所有夹在电动货槽的异物）  5-4-3设备22号分拣机更换翻板（与变型货架碰撞）,,
快速处理,12台分拣机加滑轨油，货架脚轮打螺纹胶，自攻钉，调整rfid角度，桌面挡边紧固螺丝及更换长螺丝，检查小车漏油情况。,,
换货,更换4块 BMSP板(5V模块输出电压低，导致小车发生急停故障运行不了)  更换底盘3个（立柱固定架、翻板底部破损及漏油 A）,,
换货,3D分拣机网络偶尔出现离线故障，对现场所有分拣机网络交换板做更新更换,,
换货,"故障：19号分拣机滑块异响。
故障原因：滑块轴承破裂
处理结果：更换滑块总成",,
换货,更换2块 BMSP板(5V模块输出电压低，导致小车发生急停故障运行不了),,
报废替换,"故障：9号机电机过载
原因：下X线轨由于污泥进入，导致轴承损坏
解决：更换一个轴承，清理周边污泥
对策：给滑块加油必须要用细针管加入少量轨道油进入海绵，防止外溢",,
换货,AP离线，检查网线正常，AP绿灯常亮，无网络，更换AP。,,
