故障类别,软/硬件,部件,标题,描述,原因分析,解决方案,Unnamed: 7,Unnamed: 8,Unnamed: 9
客户操作,,,急停频繁,客户反馈，切换地图后发现急停频繁,"1.地毯没有检测到rfid（检查后正常）
2，定位到小车被删除没有搬下场地，发生碰撞",检查并找到被删除的小车，重新添加回去后恢复正常,1.0,,
飞箱异常,倾角异常,,飞箱异常,飞箱106002立柱切斜，无法正常运行，报错电机1号电机发热,,"1、提供弹窗信息和读取飞箱日志

2、检查X轴导轨是否有异物卡住
-是：清除异物并把飞箱Z轴推垂直。
-否：进入步骤3

3、检查倾角是否正常
-是：进入步骤4
-否：通过操控界面调整倾角。

4、检查是否因其它部件报错导致的倾斜过大。
-是：解决其它部件问题后恢复。（如：拉箱机倾斜或X轴某个电机离线）
-否：联系售后人员解决。",1.0,,
客户操作,,,飞箱: 106004 箱位: (A008)15-041..........拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,拉箱<-货架   飞箱: 106004 箱位: (A008)15-041..........拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,物品超高,"1、取出超高货物。
2、把箱子放回货架。
3、“终止任务”“启动任务”，飞箱会重新拉箱。",1.0,,
飞箱异常,接驳位偏移量异常,,104023推箱失败,"推箱->地面车
飞箱: 104023 地面车: 205091
接驳位多次修正失败",接驳位多次修正失败,"1、提供弹窗信息和读取飞箱日志。

2、检查TOF是否脏污或螺丝松动。
-是：擦干净TOF/紧固螺丝
-否：进入步骤3

3、查看地面车停的位置是否准确。
-是：进入步骤4
-否：通过操控界面调整地面车位置

4、检查拉箱机是否倾斜。
-是：找到倾斜原因并解决，如未发现明显原因，可以电机回零继续观察
-否：进入步骤5

5、检查接驳位偏移量是否正常，可以和相邻接驳位对比下
-是：联系售后人员解决。
-否：调整偏移量。",1.0,,
飞箱异常,TOF异常,,拉箱<-货架   飞箱: 101043 箱位: (A005)13-048..........拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,拉箱<-货架   飞箱: 101043 箱位: (A005)13-048..........拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,看监控回放发现是飞箱没有判断好箱子中心位置，可能是TOF把立柱也误判成箱子一部分，导致拉箱时拉外,"1、提供弹窗信息和读取飞箱日志

2、检查TOF是否脏污。
-是：用干净的布擦TOF
-否：进入步骤3

3、检查箱子是否在正确箱位。
-是：进入步骤4.
-否：箱子摆放到正确位置。

4、检查物品是否超出箱子。
-是：整理箱子里面的物品
-否：进入步骤5

5、检查拉箱机是否有故障
-是：解决相应的故障
-否：进入步骤6

6、检查飞箱是否垂直。
-是：联系售后人员解决
-否：调整飞箱倾角。",1.0,,
飞箱异常,接驳位偏移量异常,,"飞箱: 106001 地面车: 219181.......推箱到地面车,车上有箱","推箱->地面车  飞箱: 106001 地面车: 219181.......推箱到地面车,车上有箱",接驳位小车没有箱子，但是飞箱认为地面车有箱，怀意是偏移量问题,"1、提供弹窗信息和读取飞箱日志。

2、检查TOF是否脏污或螺丝松动。
-是：擦干净TOF/紧固螺丝
-否：进入步骤3

3、查看地面车停的位置是否准确。
-是：进入步骤4
-否：通过操控界面调整地面车位置

4、检查拉箱机是否倾斜。
-是：找到倾斜原因并解决，如未发现明显原因，可以电机回零继续观察
-否：进入步骤5

5、检查接驳位偏移量是否正常，可以和相邻接驳位对比下
-是：联系售后人员解决。
-否：调整偏移量。",1.0,,
飞箱异常,TOF异常,,飞箱异常,"飞箱106001报错，推箱到地面车，车上有箱，Please Resolve:Push bin -> FloorbotAirRob: 106001 Floorbot:219175Pushed box to FloorBot,box present onvehicle",,"1、提供弹窗信息和读取飞箱日志。

2、检查TOF是否脏污或螺丝松动。
-是：擦干净TOF/紧固螺丝
-否：进入步骤3

3、查看地面车停的位置是否准确。
-是：进入步骤4
-否：通过操控界面调整地面车位置

4、检查拉箱机是否倾斜。
-是：找到倾斜原因并解决，如未发现明显原因，可以电机回零继续观察
-否：进入步骤5

5、检查接驳位偏移量是否正常，可以和相邻接驳位对比下
-是：联系售后人员解决。
-否：调整偏移量。",1.0,,
飞箱异常,料箱传感器异常,,飞箱异常报警,2025-08-05 05:38:10.986 料箱:05646所在箱位:(A002)13-040提示错误:不具备拉箱条件:两侧都没找到边,,"1、提供弹窗信息和读取飞箱日志

2、检查TOF是否脏污。
-是：用干净的布擦TOF
-否：进入步骤3

3、检查箱子是否在正确箱位。
-是：进入步骤4.
-否：箱子摆放到正确位置。

4、检查物品是否超出箱子。
-是：整理箱子里面的物品
-否：进入步骤5

5、检查拉箱机是否有故障
-是：解决相应的故障
-否：进入步骤6

6、检查飞箱是否垂直。
-是：联系售后人员解决
-否：调整飞箱倾角。",1.0,,
飞箱异常,料箱传感器异常,,飞箱异常报警,飞箱106001报错：Please Resolve:Pull bin<-StockRackAirRob: 106001 binPosition:(A002)13-040两侧都没找到边,,"1、提供弹窗信息和读取TOF日志。

2、检查TOF是否在线。
-是：进入步骤3
-否：1、查看TOF线束有无松动。
     2、检查TOF指示灯是否快闪。
     3、更换TOF。（更换TOF需要写号）

3、检查飞箱倾角是否正常。
-是：进入步骤4 
-否：通过飞箱操控界面调整倾角。（保证Z轴垂直）

4、检查该货位偏移量是否正常。
-是：进入步骤5
-否：重新校准偏移量。

5、检查TOF表面是否脏污。
-是：用干净的毛巾或者布擦干净
-否：进入步骤6

6、检查TOF安装螺丝是否松动
-是：紧固螺丝
-否：联系售后进行解决",1.0,,
飞箱异常,料箱传感器异常,,车服提示报警,车服提出报警信息，显示2025-08-05 04:28:49.514料箱:06771所在箱位:(A004)05-024提示错误:不具备拉箱条件:两侧都没找到边,可能是飞箱检测两侧料箱问题,"1、提供弹窗信息和读取TOF日志。

2、检查TOF是否在线。
-是：进入步骤3
-否：1、查看TOF线束有无松动。
     2、检查TOF指示灯是否快闪。
     3、更换TOF。（更换TOF需要写号）

3、检查飞箱倾角是否正常。
-是：进入步骤4 
-否：通过飞箱操控界面调整倾角。（保证Z轴垂直）

4、检查该货位偏移量是否正常。
-是：进入步骤5
-否：重新校准偏移量。

5、检查TOF表面是否脏污。
-是：用干净的毛巾或者布擦干净
-否：进入步骤6

6、检查TOF安装螺丝是否松动
-是：紧固螺丝
-否：联系售后进行解决",1.0,,
