故障类别,软/硬件,部件,标题,描述,原因分析,解决方案,Unnamed: 7
硬件,机器人,电池,机器人无法开机无法充电,机器人无法开机无法充电,"1、测量单个电池的电压（0.60）
2、测量上下极板电压（1.14）电压偏低，激活电池","1. 检查机器人电压是否过低
- 是：进入步骤2
- 否：进入步骤3

2. 进行手动充电，如果充不进电则需要手动激活（根据机器人激活电池视频操作指引）
- 是：问题解决
- 否：进入步骤3

3. 检查电池连接线是否松动，尝试重新插拔电池连接线
- 确认是否能开机?
- 是：问题解决
- 否：进入步骤4

4. 检查电池模块是否损坏，尝试更换电池模块
- 确认是否能开机?
- 是：问题解决
- 否：进入步骤5

5. 检查电源板和BMSP板是否损坏，尝试更换电源板和BMSP板
- 确认是否能开机?
- 是：问题解决
- 否：进入步骤6

6. RCS上确认AP是否离线
- 是：进入步骤7
- 否：建议联系专业的售后技术支持人员获得帮助

7. 检查AP的两根天线柱子是否拧紧，尝试重新拧紧，并且避免天线底座跟金属有接触。
- 确认是否离线?
- 是：进入步骤5
- 否：确认是否能开机
- 是：问题解决
- 否：进入步骤8

8. 检查AP的网线和电源是否正常，尝试重新插拔网线和电源线。
- 确认是否离线?
- 是：进入步骤6
- 否：确认是否能开机
- 是：问题解决
- 否：进入步骤9

9. 更换AP盒子
- 确认是否离线?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：确认是否能开机
- 是：问题解决
- 否：进入步骤10

10. 尝试更换AP信道
- 确认是否能开机?
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获得帮助

",1.0
硬件,AP,,机器人断断续续在线和离线,机器人离线,小车无法开机或运行中频繁离线,"1、检查AP网线两端连接牢固，一端连接到AP，另一端连接到交换机，检查网线是否有物理损坏，如断裂或弯折。
-是：将网线重新插拔或损坏网线更换
-否：进入步骤2

2、检查AP上的指示灯状态是否正常，电源指示灯应常亮，网络连接指示灯应闪烁。
-是：进入步骤3
-否：更换AP或检查网线是否接触不良

3、检查是否是信道干扰导致的。
-是：更改信道。
-否：联系售后人员。",1.0
,,,机器人反复断连,,,"1、检查AP网线两端连接牢固，一端连接到AP，另一端连接到交换机，检查网线是否有物理损坏，如断裂或弯折。
-是：将网线重新插拔或损坏网线更换
-否：进入步骤2

2、检查AP上的指示灯状态是否正常，电源指示灯应常亮，网络连接指示灯应闪烁。
-是：进入步骤3
-否：更换AP或检查网线是否接触不良

3、检查是否是信道干扰导致的。
-是：更改信道。
-否：联系售后人员。",
硬件,其它,,飞箱: 101042 箱位: (A005)13-019..........拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,拉箱<-货架   飞箱: 101042 箱位: (A005)13-019..........拉箱机拉箱失败，抓钩总成后拉100mm拉不出来,拉箱时卡住，感觉是横梁卡柱了料箱，判断是层板和横梁高度不一致后续发生需具体分析一下，看看怎么处理这种拉箱逻辑。,"1、提供弹窗信息和读取飞箱日志
2、检查TOF是否脏污。
-是：清理干净TOF表面
-否：进入步骤3
3、检查箱子位置是否正确。
-是：联系售后人员
-否：摆正箱子",1.0
硬件,机器人,雷达,170100 区域急停,"地面车 170100 区域急停 机器人: 170100 发生了区域锁定,坐标: 6,8,错误码: 21F,描述激光雷达离线","检查雷达线是否脱落
检查后发现雷达线接触不良","1、提供弹窗信息和读取小车日志
2、检查雷达灯是否旋转闪烁。
-是：进入步骤3
-否：需拆车检查
3、检查雷达线是否固定、插紧
-是：联系售后人员
-否：固定雷达线，插拔雷达接口线束",1.0
硬件,飞箱,其它,飞箱电压持续掉电,飞箱101021电压持续掉电！！！,飞箱没电了 让客户检查一下是不是飞箱没有接触到触点,"1、用万用表量电源板红黑6芯端子是否有电
-是：联系售后人员解决
-否：进入步骤2
2、检查触点接触面是否脱落、是否异常磨损。
-是：更换触点
-否：进入步骤3 
3、检查触点线束有无松动。
-是：插紧线束
-否：联系售后人员",1.0
硬件,飞箱,其它,"拉箱<-货架  飞箱: 101014 箱位: (A011)13-060......两侧边沿值差值太大,L=27086,R=27135","拉箱<-货架  飞箱: 101014 箱位: (A011)13-060......两侧边沿值差值太大,L=27086,R=27135",飞箱不在箱子前面，需要挪动飞箱到箱子面前,"1、提供弹窗信息和读取飞箱日志
2、检查X轴是否有异物卡住
-是：清理异物
-否：进入步骤3
3、检查雷达线束是否接触不良
-是：更换或重新插拔雷达线
-否：联系售后人员",1.0
硬件,飞箱,其它,拉箱<-地面车 飞箱: 101063 地面车: 219205............两侧都没找到边,拉箱<-地面车 飞箱: 101063 地面车: 219205............两侧都没找到边,查看监控发现飞箱没有识别到箱子，左右移动一下飞箱让它重新调整,"1、提供弹窗信息和读取飞箱日志
2、检查TOF是否脏污
-是：清理干净
-否：进入步骤3
3、联系售后人员查看。",1.0
硬件,机器人,其它,230224地面车显示关机,RCS界面显示230224关机,原因未知,"1、提供弹窗信息和读取飞箱日志。
2、提供地面车电源板运行状态的视频。
3、插拔900M天线",1.0
硬件,电梯,,电梯无法运行,电梯无法运行，连接上电梯工具，四个电机的状态未知,"1、检查电机灯（灯不亮）
2、检查电机连接线（连接无松动等问题）
3、更换板子（判断为电路板损坏）","1、检查电机灯是否闪烁。
-是：通过工具查看电梯详细状态
-否：进入步骤2
2、检查电机线束是否无松动
-是：重新插拔电机线
-否：进入步骤3
3、检查电源输出板是否有输出。
-是：联系售后人员
-否：更换输出板",1.0
,,,电梯不动了,,,"1、检查电机灯是否闪烁。
-是：通过工具查看电梯详细状态
-否：进入步骤2
2、检查电机线束是否无松动
-是：重新插拔电机线
-否：进入步骤3
3、检查电源输出板是否有输出。
-是：联系售后人员
-否：更换输出板",
硬件,分拣机,LCD控制器,LCD显示异常,LCD屏首页不显示文字,LCD连接线异常。,"1、检查线束是否松动
-是：重新插紧
-否：进入步骤2
2、检查线束另一边有无电源输出
-是：检查线束
-否：进入步骤3
3、用万用表量线束是否连通
-是：更换LCD屏幕
-否：更换线束
",
硬件,其它,,发货口RFDI感应不灵敏,客户商品放上小车，不能及时感应，需要手动将商品抬高，反复试探。,感应距离及强度都不够,联系专业的售后技术人员调整功率,1.0
硬件,机器人,电池,75112无法充电及开机,75112通过车服无法开机，手动充电后仍然无法开机，电源重启后指示灯不亮。,"1、怀疑充电极板氧化，砂纸打磨后无效；
2、电池亏电，先测量小车正负极电压是否在20V左右，再进行外部电源激活。","1、检查充电嘴与小车极板接触面是否正常。
-是：进入步骤2
-否：更换充电嘴。

2、检查充电桩电源是否正常。
-是：进入步骤3
-否：检查电源线是否插紧，插座是否有电，充电桩开关电源是否有电。

3、检查小车极板是否氧化。
-是：用砂纸打磨极板
-否：进入步骤4

4、检查小车电源板正负极和信号线是否紧固。
-是：联系售后人员解决。
-否：紧固线束",1.0
硬件,分拣机,读卡器,1号分拣机读卡器离线,1号分拣机读卡器离线,读卡器离线，可以让客户尝试更换读卡器,插拔1号读卡器线束，如果还不正常，更换读卡器,
硬件,扫码台相机,,条码识别内容不一致,扫码软件扫码时偶尔会出现画面中的条码信息与SKU栏内容不一致，数字有差异。,"1、分析扫码与WES日志，系统实际获取到的SKU信息是准确的；
2、大华相机每一帧的识别结果受现场光照、距离、条码平整度及条码反光等多个因素影响，偶尔会出现识别结果前后不一致。","1.重新扫描是否正常
  -是：问题解决
  -否：进入步骤2
2.查看当前相机识别反光是否严重
  -是：避免阳光等强反光直射
  -否：联系专业的售后技术人员检查",
,,,条码读出来和实际不一样,,,"1.重新扫描是否正常
  -是：问题解决
  -否：进入步骤2
2.查看当前相机识别反光是否严重
  -是：避免阳光等强反光直射
  -否：联系专业的售后技术人员检查",
,,,软件上条码读的和实物有偏差,,,"1.重新扫描是否正常
  -是：问题解决
  -否：进入步骤2
2.查看当前相机识别反光是否严重
  -是：避免阳光等强反光直射
  -否：联系专业的售后技术人员检查",
硬件,分拣机,其它,有东西留在3D分拣的翻板上没有下去，客户希望能二次翻板,客户反馈：“客户观察到分拣机在尝试放下物品时未成功，导致下一次取货时将两个物品一起放入下一个篮子，造成一个篮子多、另一个少。他们希望在一台立镖设备上测试一个改动：让升降机在放货时尝试二次翻板再去取下一个物品。目标是评估这种方法是否能减少缺陷，以及对产能的影响。他们现在想知道我们需要多长时间来实现这个测试功能。”,需要更改分拣机的配置或者固件,希望设置二次翻板的功能，需要进行更新，请联系专业的售后技术人员进行更新,
硬件,飞箱,11号电机,101043 推箱失败,"项目名称：流山UA
报警消息：トート押込む->棚
Air Rob:101043位置:（A043）08-029
无运行位置：11","推箱时箱子卡住，11号电机（抓钩）报警，初步原因判断该箱位偏移量过高导致箱子卡在横梁上（该箱位需要调低5mm）
该箱位初始偏移值-0.011现如今调整为-0.015","1、提供弹窗信息和读取飞箱日志。

2、检查TOF是否脏污或螺丝松动。
-是：擦干净TOF/紧固螺丝
-否：进入步骤3

3、检查拉箱机是否倾斜。
-是：找到倾斜原因并解决，如未发现明显原因，可以电机回零继续观察
-否：进入步骤4

4、检查货架偏移量是否正常，可以和相邻货架对比下
-是：联系售后人员解决。
-否：调整偏移量。


",
硬件,3D供包机,,供包机接获位置下降,发现12号机右侧、6号机左侧、5号机右侧与输送带之间有明显高度差，这会影响到供包机正常接货。,"1、检查Y轴电机与减速器之间螺丝是否拧紧，确认已拧紧到位；
2、对比Y轴皮带与正常供包机皮带松紧程度，发现相对较松，怀疑是皮带跳齿导致下降。","1.检查Y轴电机与减速器之间螺丝是否拧紧
  -是：进入步骤2
  -否：进行拧紧
2.对比Y轴皮带与正常供包机皮带松紧程度是否相对较松。
  -是：怀疑是皮带跳齿导致下降，进行调整松紧
  -否：联系专业的售后技术人员处理",
硬件,电子标签,,电子标签黑屏,电子标签黑屏,,"1、检查是否线束松动。
2、插拔线束是否可以解决。
3、更换电子标签。",
硬件,其它,,工控机黑屏,客户反馈工控机黑屏,电源没电了,"1、检查工控机电源接口是否紧固。                                                                  
-是：插紧接口
-否：进入步骤2
2、更换适配器供电的方式查看问题是否还存在。
-是：建议联系专业的售后技术支持人员获得帮助。
-否：问题解决",
硬件,平台,,急停频繁,小车经过地毯的时候都会报红，导致频繁急停,其中一个地毯方向放错,根据机器人急停操作指引进行指导排查,
硬件,分拣机,电梯板,更换电梯板,波兰希音大P3第六套52号分拣机，客户更换电梯板，要求更新一下电梯板固件,,"当分拣机更换电梯板时需要重新修改ip并升级
1.更换完毕后在分拣机的LED显示屏中点击高级设置，设置当前分拣机的ip地址
2.设置完ip后进行升级电梯板的程序保持和其他分拣机处于同一版本",
硬件,分拣机,读卡器,分拣机识别不到右边的货架,分拣机识别不到右边的货架,分拣机左右两边插着货架，右边亮红灯识别不到RFID,"1. 查看分拣机LED屏幕，确认是否能识别到货架RFID
- 是：进入步骤3
- 否：进入步骤2

2. 尝试重新插拔读卡器，观察是否恢复正常
- 是：问题解决
- 否：进入步骤3

3. 检查货架是否正常靠近读卡器，尝试重新插入货架，观察是否恢复正常
- 是：问题解决
- 否：进入步骤4

4. 检查货架RFID是否正常（可插到其他分拣机进行确认），尝试更换RFID并重新注册，观察量否恢复正常
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获得帮助
",
,,,右边货架插了没反应,,,"1. 查看分拣机LED屏幕，确认是否能识别到货架RFID
- 是：进入步骤3
- 否：进入步骤2

2. 尝试重新插拔读卡器，观察是否恢复正常
- 是：问题解决
- 否：进入步骤3

3. 检查货架是否正常靠近读卡器，尝试重新插入货架，观察是否恢复正常
- 是：问题解决
- 否：进入步骤4

4. 检查货架RFID是否正常（可插到其他分拣机进行确认），尝试更换RFID并重新注册，观察量否恢复正常
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获得帮助
",
