序号,现象,排查指引,备注
1,相机/摄像头识别率低、相机/摄像头识别响应慢、曝光反光严重，无法识别条码、相机/摄像头识别有延迟、相机/摄像头画面模糊,"1. 适当调整补光灯的亮度
- 观察是否有改善?
- 无：进入步骤2
- 有：问题解决

2. 适当调整相机的曝光度
- 观察是否有改善?
- 无：进入步骤3
- 有：问题解决

3. 适当调整相机的焦距
- 观察是否有改善?
- 无：进入步骤4
- 有：问题解决

4. 相机断电后重新上电
- 观察是否有改善?
- 无：进入步骤5
- 有：问题解决

5. 请重启扫码台软件
- 观察是否有改善?
- 无：建议联系专业的售后技术支持人员获得帮助
- 有：问题解决",
2,相机指示灯不亮,"1. 确认开关是否打开
- 是：进入步骤2
- 否：打开开关，观察是否连接成功?
- 是：问题解决
- 否：进入步骤2

2. 相机断电后重新上电
- 观察是否连接成功?
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获得帮助",
3,相机/摄像头无法识别二维码或条码,"1. 根据操作指引在相机设置界面，查看识别二维码或条码的开关是否已经打开，没有的话请打开
- 观察是否能识别?
- 不能：进入步骤2
- 能：问题解决


2.检查扫码台配置文件dahua.cfg中二维码或条码识别功能是否打开
-是：进入步骤3
-否：在配置中打开，重启扫码台程序，再次尝试


3. 相机断电后重新上电
- 观察是否能识别?
- 不能：进入步骤4
- 能：问题解决



4. 请重启扫码台软件
- 观察是否能识别?
- 不能：建议联系专业的售后技术支持人员获得帮助
- 能：问题解决",
4,扫码台显示无法连接相机/摄像头,"1.确认扫码台程序是否为新版本
-是：SVS相机工具中设备属性，可见性为大师模式，查看deviceUserId是否配置（相机所对应的发货口名称）
-否：进入步骤2

2. 相机断电后重新上电
- 观察是否能连接?
- 是：问题解决
- 否：进入步骤3

3. 重启扫码台软件
- 观察是否能连接?
- 是：问题解决
- 否：进入步骤4

4. 打开电控箱，插拔相机的网线
- 观察是否能连接?
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获得帮助",
5,相机/摄像头花屏、左/右侧相机不显示画面、相机显示变叉叉、相机显示两个红叉,"1. 相机断电后重新上电
- 观察是否还有花屏现象?
- 是：进入步骤2
- 否：问题解决

2. 请重启扫码台软件
- 观察是否还有花屏现象?
- 不能：进入步骤3
- 能：问题解决

3. 升级相机固件
- 观察是否还有花屏现象?
- 是：进入步骤4
- 否：问题解决

4. 更换新的相机
- 观察是否还有花屏现象?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决",
6,相机显示变叉叉、相机显示两个红叉,"1. 检查内存是否满了，尝试清理内存
- 观察是否还有问题?
- 是：进入步骤2
- 否：问题解决

2. 检查磁盘是否满了，尝试清理磁盘
- 观察是否还有问题?
- 是：进入步骤2
- 否：问题解决

3. 请重启扫码台软件
- 观察是否还有问题?
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决",
7,相机无法识别到大的条码,"1. 根据操作指引修改相机参数
- 勾选码种，SizeMaxWidth的值改成4000，SizeMaxHeight的值改成300
- 观察是否能识别?
- 能：问题解决
- 不能：建议联系专业的售后技术支持人员获得帮助",
8,扫码台软件关闭后无法打开,"1. 扫码台软件进程可能没有完全退出，在任务管理器中手动结束进程，然后再打开扫码台软件
- 确认是否可以打开?
- 是：问题解决
- 否：进入步骤2

2. 尝试重启电脑
- 确认是否可以打开?
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获得帮助",
9,称重没反应,"1. 确定两侧的称重是否都没反应
- 是：进入步骤3
- 否：进入步骤2

2. 打开扫码台白色电控箱，交换称重盒子上的传感器
- 确认是否可以称重?
- 是：说明传感器损坏，请更换传感器
- 否：进入步骤4

3. 打开扫码台白色电控箱，检查称重盒子的IP是否能ping通
- 能：进入步骤4
- 不能：检查网络和电源，如果还有问题建议联系专业的售后技术支持人员获得帮助

4. 和其他正常的称重盒子进行交换，在软件目录下的config文件中修改ip后重启扫码台软件
- 确认是否可以称重?
- 是：说明称重盒子损坏，请更换称重盒子
- 否：建议联系专业的售后技术支持人员获得帮助",
10,扫码台软件上显示的重量不正确,"1. 确保机器人在称重平台上，打开扫码台软件，按住Ctrl键后点击显示出来的“称重置零”按钮
- 确认重量是否正常?
- 是：问题解决
- 否：进入步骤2

2. 搬走称重台上的机器人，将10KG砝码放到称重台上，按住Ctrl键后点击显示出来的“10KG校准”按钮
- 确认重量是否正常?
- 是：问题解决
- 否：进入步骤3

3. 在软件目录下找到config文件，确认“Left Weight scale Pactor”和“Right Weight scale Pactor”这两个配置的值是否和其他正常的值一样
- 否：配置成正常值后，确认重量是否正常？
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获得帮助
- 是：建议联系专业的售后技术支持人员获得帮助",
11,扫码后无法发车,"首先检查机器人状态是否正常，是否处于被关机或暂停的情况，再进入以下步骤进行操作
1. 检查相机是否在线
- 否：检查网络和防火墙
- 是：进入步骤2

2. 检查称重数值是否正常（数值太大或者是负数）
- 是：进入步骤3
- 否：进入步骤4

3. 机器人在称重平台上时，按住Ctrl键后点击显示出来的“称重置零”按钮
- 观察是否能发车?
- 是：问题解决
- 否：进入步骤4

4. 确认扫码后是否有显示目的地
- 是：进入步骤5
- 否：联系专业的售后技术支持人员获得帮助

5. 确认是否有报错信息，例如“无sku”等信息
- 是：如“无sku”则这件货不在此波次中，属于正常现象。其他问题如有需要请联系售后客服进行排查。
- 否：联系专业的售后技术支持人员获得帮助","类似提问：
扫码台不发车"
12,扫不出码,"如果是新格式的码需要在配置文件中增加白名单规则：
文件名：config/Base Config.json
字段名：WhiteListFilter",
