序号,现象,排查指引,备注
1,格口灯条显示离线、满包后按钮盒没亮灯，灯条软件上显示离线状态、灯条主从断开连接、灯条无法注册,"1. 重新插拔灯条/按钮盒连接线
- 观察是否异常
- 是：进入步骤2
- 否：问题解决

2. 更换灯条/按钮盒，并重新注册
- 观察是否异常
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决",
2,多个灯条出现紫色灯光,通常情况下是灯条固件版本的问题，建议联系专业的售后技术支持人员升级固件,
3,更换灯条后注册失败,"通常情况下是因为没有将原灯条/按钮盒的注册信息删除导致的，请先删除原灯条/按钮盒信息后再注册
- 观察是否继续失败
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：问题解决",
4,满包之后无法解除满包，灯条一直触发满包,检查是否存在遮挡，例如被料框挡到，尝试通过移除料框进行验证，如果还有问题请联系售后技术支持人员获得帮助,
5,传感器满包状态下，塔灯不亮,尝试重新插拔塔灯的连接线，如果还有问题请联系售后技术支持人员获得帮助,
6,灯条全部离线,"1. 检查电源盒是否损坏，尝试重新插拔电源线
- 确认电源盒是否正常
- 是：进入步骤2
- 否：进入步骤3

2. 确认电源盒的IP是否能ping通
- 能：建议联系专业的售后技术支持人员获得帮助
- 不能：检查网络和防火墙，通常情况下是防火墙禁止了跟灯条的通讯，请确认并进行放行。

3. 电源盒可能损坏，尝试更换电源盒，并联系客服修改电源盒IP",
7,灯条软件启动不了,通常情况下是灯条软件的配置文件格式错误导致的，请确认并进行修正，如果还有问题请联系售后技术支持人员获得帮助,
8,格口满包未提示,"1.检查按钮盒软件是否有断连
-是：检查连接CAN线
-否：进入步骤2
2.检查按钮盒是否正常
-否：更换按钮盒
-是：进入步骤3
3.检查满包传感器是否正常
-否：调整或更换传感器
-是：建议联系专业的售后技术支持人员获得帮助
",
9,格口关闭希望短按改为长按,1.建议联系专业的售后技术支持人员获得帮助,
10,按钮盒注册,1.建议联系专业的售后技术支持人员获得帮助,
11,,,
12,,,
13,,,
14,,,
15,,,
