序号,现象,排查指引,备注
1.0,校准霍尔,"- 确保机器人未接触地毯。
- 长按C按钮，直到B按钮和C按钮同时闪烁，然后松开C按钮。
- 按下两次A按钮，观察灯带上的三个灯是否全亮并闪烁三次，是则表示校准成功。
- 最后，依次按下C、B、A按钮，使机器人恢复正常状态。

[Video](https://chatbot.libiaorobot.com/wiki/videos/agv_calibration_hall.mp4 ':include :type=video')
",
2.0,校准轮径,"- 将机器人放置于地毯正中间，保证机器人前方七个地毯没有其他机器人或者障碍物。
- 长按C按钮，直到A按钮和C按钮同时闪烁，然后松开C按钮。
- 按下两次A按钮，这时机器人会来回运行。当机器人停止运动，并且三个按钮同时闪烁三次后，表示校准成功。
- 最后，依次按下C、B、A按钮，使机器人恢复正常状态。
[Video](https://chatbot.libiaorobot.com/wiki/videos/agv_calibration_wheel_diameter.mp4 ':include :type=video')


",
3.0,校准磁场,"- 为避免磁场干扰，请将机器人移至无地毯区域进行操作。
- 连续按下五次C按钮。
- 按下两次A按钮，观察灯带上的三个灯是否全亮并闪烁三次。若闪烁三次，则表示校准成功。
- 依次按下C、B、A按钮，使机器人恢复正常状态。

",
4.0,手动测试翻板,"- 依次按下三次C按钮、一次A按钮。
- 按下A按钮，观察翻板是否打开。
- 按下B按钮，观察翻板是否关闭。

[Video](https://chatbot.libiaorobot.com/wiki/videos/agv_flip_reset.mp4 ':include :type=video')
",
5.0,机器人注册,"- 将机器人放置于地毯的正中间。
- 长按C按钮，直到A、B、C按钮同时闪烁，然后松开C按钮。
- 按下两次A按钮，这时机器人会小幅度左右运动，当机器人停止运动，并且A、B、C按钮同时闪烁，表示注册完成。
- 依次按下C、B、A按钮，使机器人恢复正常状态。
[Video](https://chatbot.libiaorobot.com/wiki/videos/agv_register.mp4 ':include :type=video')
",
6.0,测量电池电压,"- 使用万用表测量机器人充电极板的电压，正常电压为4.6V左右。
- 电压低于4V表示电量不足，需要及时充电，否则可能无法开机。
- 电压低于3V时，需要激活电池后才能正常充电。

",
7.0,小车辅助轮的寿命及更换标准,"- 万向轮的寿命一般情况下为3年。更换标准为轮子转动是否良好，表面的橡胶是否呈正常的圆弧状。
- 万向轮保养建议：
- 确保不在崎岖不平的路面或者有腐蚀性物质的环境下运行
- 请勿超过额定负载
- 定期对小车辅助轮进行清洁和维护

",
8.0,机器人进入维修区的条件,"翻板故障时会进入维修区，其他报错不会进入维修区。

",
9.0,一个电源盒是否可以连接两套灯条系统,"不可以，建议使用两个电源盒分别连接两套系统。

",
10.0,如何设置RCS日志的保存时间,"建议修改Nlog.config文件中的参数

",
11.0,如何激活电池,,根据操作视频激活？
12.0,小车没有系统提示音要怎么办,,根据“XX操作指引”进行设置？
13.0,小车皮带输送机转向变反了要怎么办,,根据“XX操作指引”进行设置？
14.0,AGV放电的操作方法,,根据“XX操作指引”进行设置？
15.0,充电嘴的更换标准和使用寿命是怎么样的,充电嘴属于易损件，建议根据弹簧弹性和磨损程度进行更换。,
16.0,3D分拣机货架注册方法？,WCS配置文件中，修改注册机器号，保存，重启WCS，WCS上》高级》导入货架，将新货架依次左右RFID位置推入分拣机对应位置，导入货架界面自动识别显示左右RFID，输入货架对应编码，点击导入即可,
17.0,AGV是否只参考 RCS 电脑的时间进行运行,建议关闭时间同步功能,
18.0,如何判断 RCS 日志中“AGV全部密封，停止服务，关闭所有电源”是否成功执行。,建议查看 AC 界面中机器人的状态是否为 off。,
