3,现象,排查指引,备注
1,AP通信成功率为0,"1. 检查AP的两根天线柱子是否拧紧，尝试重新拧紧，并且避免天线底座跟金属有接触。
- 观察是否还有问题?
- 是： 进入步骤2
- 否： 问题解决

2. 检查AP的网线和电源是否正常，尝试重新插拔网线和电源线。
- 观察是否继续报错?
- 是： 进入步骤3
- 否： 问题解决

3. 由于通讯率为0，可能是AP的通讯模块损坏，建议更换AP或者联系专业的售后技术支持人员获得帮助。",
2,AP离线,"1. 在装有RCS的电脑上，对AP的IP进行ping操作，确认是否能ping通
- 是：建议联系专业的售后技术支持人员获得帮助
- 否：进入步骤2

2. 检查AP的网线和电源是否正常，尝试重新插拔网线和电源线
- 观察是否离线?
- 是： 建议联系专业的售后技术支持人员获得帮助
- 否： 问题解决",
3,AP通信成功率低,"1. 检查AP的两根天线柱子是否拧紧，尝试重新拧紧，并且避免天线底座跟金属有接触
- 观察是否还有问题?
- 是： 进入步骤2
- 否： 问题解决

2. 尝试更换AP信道
- 观察是否还有问题?
- 是：问题解决
- 否：建议联系专业的售后技术支持人员获得帮助",
4,,,
5,,,
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
