Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
错误码,指标灯颜色,错误描述,排查方法,排查方法（标准格式）,排查方法（简化）
205,Red,左霍尔板故障,,,
206,Red,右霍尔板故障,,,
207,Red,前霍尔板故障,,,
208,Red,后霍尔板故障,,,
20A,Red,小车按键急停,,,
20C,Red,（AC）路径不能限时发送,,,
20D,Red,"执行路径时,无地毯定位","先摆正继续运行，如果频繁报错，进行以下排查
  - 检查发生错误地毯有无异物
  - 检查发生错误地毯附近是否有轮子摩擦时产生的橡胶块装物，有则需要铲除
  - 校准霍尔（机器人不要触碰地毯，电机机器人的C按钮直到BC按钮在闪烁，按两次A按钮灯带三个灯闪三次，然后依次按CBA恢复）
  - 校准轮径（将机器人放到地毯正中间，保证机器人前方七个地毯没有其他机器人或者障碍物，按C按钮知道AC按钮闪烁，再按两次A按钮，等待机器人来回运行结束后三个按钮闪烁三次，依次按CBA恢复），校准完轮径之后，放回平台继续运行观察。

如果问题还是存在，进行硬件检查
  - 检查左右两侧轮子是否在开机的状态下能锁紧，如果锁不紧则重新注册 [注册操作指南](https://www.abc.com/zcdj.htm)，注册还是不行则更换电机后重新注册
如果还是反复出现错误联系人工处理","1. 将机器人摆正
  -  观察是否继续报错?
    -  否：问题解决
    -  是：进入步骤2
2. 检查地毯周边是否有异物
   -  有：清理异物
    -  观察是否继续报错?
      -  否：问题解决
      -  是：进入步骤3
   -  没有：进入步骤3
3. 按照视频指引校准轮径
  -  观察是否继续报错?
    -  否：问题解决
    -  是：进入步骤5
4. 检查左右两侧轮子在开机的状态下是否能锁紧
   -  如果能锁紧，进入步骤6
   -  如果不能锁紧，进入步骤5
5. 按照视频指引重新注册电机
  -  观察是否继续报错?
   -  否：问题解决
   -  是：进入步骤6
6. 按照视频指引更换左电机并重新注册
  -  观察是否继续报错?
    -  否：问题解决
    -  是：进入步骤7
7. 按照视频指引更换右电机并重新注册
  -  观察是否继续报错?
   -  否：问题解决
   -  是：建议联系专业的售后技术支持人员获得帮助","1.将机器人置于地毯正中间
2.清理地毯上的杂物
3.按照视频指引校准轮径
4.按照视频指引重新注册电机
5.更换左电机并重新注册
6.更换右电机并重新注册"
211,Red,左电机离线,"1. 重新注册电机 
   211表示左电机可能离线。请尝试重新注册左电机，操作指引请访问：[注册操作指南](https://www.abc.com/zcdj.htm)。

2. 硬件检查 
   如果问题仍然存在，请按照以下步骤进行硬件检查：
   - 将机器人从平台上移开。
   - 检查左电机的连接线是否松动，尝试重新插拔连接线。
   - 检查连接线后，观察电机上的状态指示灯。指示灯是否正常亮起？
   - 如果指示灯不亮，电机可能损坏，需要更换左电机。请参考：[更换操作指南](https://www.abc.com/ghzdj.htm)。
   - 如果指示灯亮起，表示电机本身可能正常。请将机器人放回平台，打开电源，并再次查看RCS系统中机器人的硬件信息，确认左电机是否仍显示离线状态。 - 如果还是离线，建议联系专业的售后技术支持人员获得帮助","1. 按照视频指引重新注册电机
   - 将机器人放回平台，打开电源，确认是否离线
    - 在线：问题解决
    - 离线：进入步骤2
2. 检查左电机的连接线是否松动，尝试重新插拔连接线
   - 打开电源，观察电机上的状态指示灯
    - 不亮：进入步骤3
    - 亮：进入步骤4
3. 电机可能损坏，尝试按照操作视频更换左电机
   - 将机器人放回平台，打开电源，确认是否离线
     - 离线：建议联系专业的售后技术支持人员获得帮助
     - 在线：问题解决
4. 将机器人放回平台，打开电源，确认是否离线
    - 离线：建议联系专业的售后技术支持人员获得帮助
    - 在线：问题解决","1.按照视频指引重新注册电机
2.重新插拔电机连接线
3.更换左电机并重新注册"
212,Red,右电机离线,"1. 重新注册电机  
   212表示右电机可能离线。请尝试重新注册右电机，操作指引请访问：[注册操作指南](https://www.abc.com/zcdj.htm)。

2. 硬件检查  
   如果问题仍然存在，请按照以下步骤进行硬件检查：
   - 将机器人从平台上移开。
   - 检查右电机的连接线是否松动，尝试重新插拔连接线。
   - 检查连接线后，观察电机上的状态指示灯。指示灯是否正常亮起？
   - 如果指示灯不亮，电机可能损坏，需要更换右电机。请参考：[更换操作指南](https://www.abc.com/ghzdj.htm)。
   - 如果指示灯亮起，表示电机本身可能正常。请将机器人放回平台，打开电源，并再次查看RCS系统中机器人的硬件信息，确认右电机是否仍显示离线状态。
   - 如果还是离线，建议联系专业的售后技术支持人员获得帮助。","1. 按照视频指引重新注册电机
   - 将机器人放回平台，打开电源，确认是否离线
    - 在线：问题解决
    - 离线：进入步骤2

2. 检查右电机的连接线是否松动，尝试重新插拔连接线
   - 打开电源，观察电机上的状态指示灯
    - 不亮：进入步骤3
    - 亮：进入步骤4

3. 电机可能损坏，尝试按照操作视频更换右电机
   - 将机器人放回平台，打开电源，确认是否离线
     - 离线：建议联系专业的售后技术支持人员获得帮助
     - 在线：问题解决

4. 将机器人放回平台，打开电源，确认是否离线
    - 离线：建议联系专业的售后技术支持人员获得帮助
    - 在线：问题解决 ","1.按照视频指引重新注册电机
2.重新插拔电机连接线
3.更换右电机并重新注册"
