故障类别,软/硬件,部件,标题,描述,原因分析,解决方案,Unnamed: 7
参数配置,,,添加白名单,添加白名单,条码规则为：^[A-Z]{2}[0-9]{17}$,"请提供需要添加的条码
根据提供的条码输出正则表达式：例如条码为SF12222155642168975,表达式为^[A-Z]{2}[0-9]{17}$  这个表达式的意思是前面两位是A到Z的字母，后面跟着17位数字
1.根据输出的正则表达式，打开扫码软件exe的config文件，找到白名单，在空白行的白名单中添加正则表达式
2.保存config文件并重启扫码软件，扫描相应条码超市，问题是否解决
  -是：问题解决
  -否：请联系专业的售后技术人员处理",1.0
参数配置,,,新加了一种条码类型需要配置,添加白名单,条码规则为：^[A-Z]{2}[0-9]{17}$,"请提供需要添加的条码
根据提供的条码输出正则表达式：例如条码为SF12222155642168975,表达式为^[A-Z]{2}[0-9]{17}$  这个表达式的意思是前面两位是A到Z的字母，后面跟着17位数字
1.根据输出的正则表达式，打开扫码软件exe的config文件，找到白名单，在空白行的白名单中添加正则表达式
2.保存config文件并重启扫码软件，扫描相应条码超市，问题是否解决
  -是：问题解决
  -否：请联系专业的售后技术人员处理",
软件,扫码台软件,,获取扫码枪VID,更换新的扫码枪需要获取扫码枪VID,根据更换扫码台操作流程指引进行操作,根据更换扫码台操作流程指引进行操作,1.0
参数配置,,,货架蓝灯报警,第三套货架70074插入分拣机时亮蓝灯报警,货架数据异常,"货架亮起蓝灯表示当前货架未释放，请按照以下操作进行
1.请WMS（上游系统）检查货架是否释放
  -否：上游系统释放货架，然后再次插入尝试
  -是：建议联系专业的售后技术人员处理",1.0
软件,RCS,,安装驱动加密狗,平台需要安装驱动加密狗,3D缺少加密狗驱动,"1.检查加密狗是否正常插入电脑中
  -是：进入第2步
  -否：插入加密狗电脑
2.安装加密狗驱动是否能恢复
  -是：问题解决
  -否：进入第三步
3.进入网址http://localhost:1947/_int_/devices.html查询加密狗驱动是否正常
  -是：进入第4步
  -否：更换新的加密狗驱动或联系专业的售后技术人员处理
4.加密狗是否在rcs所在的内网里
  -是：建议联系专业的售后技术人员处理
  -否：加密狗插入内网的任意一台RCS电脑中",1.0
其它,料箱丢失,,07134料箱丢失,RCS没有07134号料箱的库存信息，导致站台下发的下架任务未触发。,"需要找到料箱的位置
1.打开rcs的日志进行精确查找这个料箱的具体位置
2.找到位置后控制拉箱机移动到查找的位置处进行手动扫描料箱","需要找到料箱的位置
1.打开rcs的日志进行精确查找这个料箱的具体位置
2.找到位置后控制拉箱机移动到查找的位置处进行手动扫描料箱",1.0
参数配置,,,机器人校准轮径，位移移动不到位,机器人校准轮径的时候，位移移动不到位,"机器人配置中“来回跑,校轮径启动位移”设置的不是现在的魔毯大小，所以无法校准","1.重新校准轮径尝试，是否可以解决
  -是：问题解决
  -否：进入第2步
2.把机器人放到地毯上，保证机器人前进方向十个地毯上无障碍物，点击机器人C按钮直到AC按钮闪烁，再按两下A按钮，查看机器人是否正常运行
  -是：联系专业的售后技术人员处理
  -否：检查机器人升级的config文件，查看地毯大小是否和实际大小一直
    -是：建议联系专业的售后技术人员处理
    -否：修改config中地毯大小并升级小车，如果问题还未解决，建议联系专业的售后技术人员处理",1.0
校准或注册,轮径校准,,小车233251频繁走偏,uniuni chicago项目上层小车233251频繁走偏,经过检查发现轮径不对,根据机器人跑偏操作流程指引处理,1.0
软件,MCS,,波次无法关闭,波次无法关闭，显示机器人上还有一个任务，实际没有,MCS订单状态未更新,"1.确认系统中是否有正在分拣的货物
-是：等待货物分拣完成
-否：从后台强制关闭波次，密码为波次号后六位（建议联系专业的售后技术支持人员获得帮助）",
软件,MCS,,机器人停在3D29位置不动，WCS界面3D29分拣机状态显示正常,PNT仓3D第3套：上下层机器人停在3D29位置不动，WCS界面3D29分拣机状态显示正常。,,打开wcs软件，点击高级，进行当前格口解锁重置,1.0
